AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
AD-0002,AD,42.544983,1.452258,122
OAFR,AF,32.366667,62.165347,129
OALL,AF,34.506716,66.298068,122
OAQM,AF,36.01707,70.76085,136
OADZ,AF,38.461708,70.881608,131
AF-0014,AF,33.375169,69.96954,116
AF-0015,AF,34.49927,70.11921,142
OAYW,AF,37.563636,70.444496,135
OANL,AF,33.739456,66.157408,142
OAGZ,AF,33.627366,69.237023,124
OAFZ,AF,37.122148,70.5201,140
LOIA,AT,47.449756,12.396033,119
LOWL,AT,48.2332,14.1875,139
LOLW,AT,48.182513,14.039283,112
DE-0354,AT,47.93474,14.350854,110
LOIJ,AT,47.5201,12.4497,113
LOGP,AT,47.386684,16.112673,123
LOWS,AT,47.793301,13.0043,103
LOKW,AT,46.818202,14.825154,149
LOGW,AT,47.170293,15.664468,118
AT-0024,AT,48.61453,15.40598,143
BD-0024,BD,21.77327,92.06874,134
BD-0003,BD,21.419863,91.981569,148
VGTJ,BD,23.778799,90.382698,122
VGZR,BD,23.843347,90.397783,105
VGIS,BD,24.1525,89.0494,129
BD-0022,BD,22.37647,90.32213,149
VGCB,BD,21.4522,91.963898,112
BD-0039,BD,24.21232,90.9065,128
VGSY,BD,24.963832,91.864843,137
VGSG,BD,26.016399,88.403603,137
OBKH,BH,26.034533,50.524544,137
OBBI,BH,26.267295,50.63764,140
OBBS,BH,25.9184,50.590599,125
BR-1827,BR,-3.09124,-47.419629,125
BR-0131,BR,-12.549442,-46.886701,120
SNFL,BR,-6.050556,-56.302223,127
BR-1695,BR,-19.3475,-46.104167,114
SD9B,BR,-7.564035,-56.711844,125
SWGI,BR,-11.7396,-49.132198,130
SDDI,BR,-21.59237,-50.833044,129
SIEL,BR,-16.589899,-57.727698,136
SD8U,BR,-13.337778,-58.006111,116
BR-1478,BR,-18.544192,-55.570832,150
FBVM,BW,-18.955395,22.814533,126
FBGZ,BW,-21.692499,21.6581,144
BW-0015,BW,-21.2019,22.5038,112
FBSN,BW,-20.5534,26.115801,105
FBGD,BW,-18.61649,22.915932,110
FBKK,BW,-19.5688,22.875575,136
BW-0022,BW,-26.326,22.0946,106
BW-0005,BW,-17.8386,25.031484,149
BW-0046,BW,-18.878912,22.713563,112
FBSW,BW,-18.373899,21.8326,124
UMMR,BY,53.303,24.369,114
BY-4247,BY,52.305,31.1633,146
BY-0034,BY,54.2313,30.77433,135
BY-0040,BY,52.155729,26.128964,145
UMLI,BY,53.7733,27.58,144
BY-3111,BY,55.255001,30.2467,118
UMGG,BY,52.527,31.016701,102
BY-0019,BY,53.598206,24.9719,136
UMII,BY,55.126499,30.3496,130
BY-0018,BY,55.816719,28.025859,148
FZJB,CD,3.233,29.566999,142
FZFU,CD,2.183261,22.479572,113
CD-0033,CD,-4.65034,16.45366,120
FZQF,CD,-10.530346,26.325903,134
FZDB,CD,-5.617,17.6,111
CD-0019,CD,-5.302778,21.409722,132
FZVC,CD,-3.419344,22.516479,112
FZRG,CD,-7.417,27.15,145
FZWI,CD,-7.22216,23.758707,146
FZOE,CD,-3.583,26.700001,116
LSZO,CH,47.188993,8.204556,123
LSPK,CH,47.279999,8.88194,106
LSXV,CH,46.2342,9.09417,141
