AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
TR-0092,TR,36.93968,35.563492,109
LTAP,TR,40.829399,35.521999,102
TR-0079,TR,36.80834,31.369507,149
TR-0016,TR,40.115021,27.93894,126
TR-0017,TR,38.859261,40.595963,108
TR-0035,TR,38.541801,42.332401,109
TR-0024,TR,40.398499,29.0895,119
TR-0020,TR,39.988998,27.0368,120
LTCC,TR,37.893902,40.201,127
LTCA,TR,38.597974,39.28348,132
LTCD,TR,39.710201,39.527,100
LTCE,TR,39.956501,41.1702,140
LTAJ,TR,36.947201,37.478699,138
LTCW,TR,37.5497,44.2381,121
TR-0099,TR,36.349089,36.598577,110
TR-0044,TR,36.890908,35.070522,115
LTCF,TR,40.562199,43.115002,148
LTAL,TR,41.314201,33.795799,123
TR-0039,TR,38.702994,35.504551,118
TR-0030,TR,41.634998,27.492399,150
LTBQ,TR,40.735001,30.0833,148
LTAN,TR,37.979,32.561901,134
LTBN,TR,39.426701,30.016899,149
TR-0015,TR,38.468946,38.365159,132
TR-0001,TR,38.976571,27.853267,105
LTCN,TR,37.538826,36.953522,132
LTCK,TR,38.747799,41.661201,105
TR-0029,TR,37.84507,34.471794,150
LTCB,TR,40.966872,38.085995,121
LFTO,TR,41.179625,40.850796,136
TR-0080,TR,41.5129,36.1203,141
LTAR,TR,39.813801,36.9035,111
LTBU,TR,41.138199,27.9191,109
LTAW,TR,40.30743,36.367409,135
LTBO,TR,38.681499,29.471701,107
LTCI,TR,38.468201,43.332298,116
LTAS,TR,41.506401,32.0886,147
TR-0014,TR,38.314704,33.8055,127
LTCT,TR,39.976627,43.876648,146
LTBP,TR,40.684399,29.3757,127
