AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
AE-0107,AE,24.95,52.399,154.82308818753245
AE-0065,AE,24.189055,55.715891,185.1221291833052
AE-0024,AE,24.221075,52.006719,163.34287275035314
OMBY,AE,24.283611,52.580278,153.4238175251008
AE-0026,AE,24.59017,51.72703,142.57720292820798
AE-0092,AE,24.34092,51.60276,184.8322481082227
OMAQ,AE,24.930599212646484,52.855098724365234,165.40880290246116
AYM,AE,24.467,54.6103,178.72937716789698
OMAF,AE,24.378889,54.316111,116.89757573780422
AE-0129,AE,23.68789,53.86956,172.5537651022554
OMAL,AE,24.261699676513672,55.60919952392578,176.13553972128955
OMAD,AE,24.428301,54.458099,192.63735954222432
AE-0088,AE,25.11475,55.29435,122.20194025539746
OMDM,AE,25.0268001556,55.3661994934,154.3785058300739
AE-0127,AE,22.776021,55.063199,132.2343093045091
OMFJ,AE,25.112199783325195,56.32400131225586,184.44313835964547
RHR,AE,25.691,55.778,146.0277352889322
OMSN,AE,25.21679,54.233447,151.21981824081934
OMSJ,AE,25.32859992980957,55.5172004699707,104.9931385053019
OMUQ,AE,25.57715,55.65068,110.83250180937824
AF13,AF,34.778601,67.489557,120.20591241317322
OAQN,AF,34.985472,63.117404,164.35922223291738
OALP,AF,37.244444,74.251944,175.38506992860874
OAYW,AF,37.563636,70.444496,121.33542551280667
OAFZ,AF,37.122148,70.5201,120.23051643190297
OANL,AF,33.739456,66.157408,105.48262627860889
OAFR,AF,32.366667,62.165347,157.6690376715153
OASD,AF,33.3913,62.261002,153.17332587026428
OAMN,AF,35.930801,64.760902,124.60391331228806
OAHR,AF,34.209999,62.228298,193.58807404422464
AF-0005,AF,33.284605,69.80734,113.22203777723901
AF-0015,AF,34.49927,70.11921,102.64565792454748
AF-0006,AF,34.171971,69.035309,120.83692068635712
OAA,AF,33.922217,69.07794,104.0825823463716
AF04,AF,30.303216,61.868904,132.97079250572904
AF-0001,AF,33.485298,67.144096,165.02242824761927
OAGZ,AF,33.627366,69.237023,188.8995716600025
OASA,AF,33.12575,68.838517,100.06739771109217
OATQ,AF,36.770699,69.531998,171.28650319627968
AF07,AF,37.061623,69.487765,156.06439069347437
VGBR,BD,22.801000595092773,90.30120086669922,198.4949816501274
BD-0022,BD,22.37647,90.32213,198.2318332857859
BD-0003,BD,21.419863,91.981569,107.69465965666981
VGCM,BD,23.43720054626465,91.189697265625,144.4821704746918
BD-0024,BD,21.77327,92.06874,133.14739128637362
BD-0023,BD,22.50999,91.79041,170.24472460631162
VGEG,BD,22.249599,91.813301,177.2310508923763
VGCB,BD,21.45219993591309,91.96389770507812,175.76801457075652
BD-0019,BD,22.7389,91.06489,124.35656234544288
VGTJ,BD,23.77879905700684,90.38269805908205,173.30166316598473
VGZR,BD,23.843347,90.397783,194.89826078981608
BD-0039,BD,24.21232,90.9065,143.6165538129717
VGJR,BD,23.1838,89.160797,175.71084677803245
VGSD,BD,25.75919914245605,88.90889739990234,164.86973052478223
VGSG,BD,26.01639938354492,88.40360260009766,116.84268715521887
VGBG,BD,24.8668,89.3165,114.41868137323317
VGRJ,BD,24.43720054626465,88.61650085449219,161.06729277618413
VGLM,BD,25.887624,89.431254,195.8106862513025
VGIS,BD,24.15250015258789,89.04940032958984,113.54805177902655
VGSH,BD,24.398333,91.916944,107.99289668433309
CY-0003,CY,35.276018,33.267503,189.03701664525008
CY-0025,CY,35.195038,32.932524,192.91123217631656
CY-0001,CY,35.106384,33.321304,129.7994852516563
LCEN,CY,35.152337,33.506584,163.43944451926262
CY-0081,CY,35.17626,33.18416,160.27896526140628
CY-NIC,CY,35.150799,33.278702,190.99006961588742
CY-0002,CY,35.23591,33.720088,199.45839241975844
CY-0050,CY,35.144454,33.919932,116.81069663977814
CY-0044,CY,35.071073,33.820505,143.5406260510286
CY-0079,CY,34.793553,33.352371,197.252600831226
CY-0005,CY,34.909671783447266,33.40373229980469,177.08717283084303
LCLK,CY,34.875099,33.624901,192.72154523855363
CY-0006,CY,34.8404183033,33.4244763851,197.94000033046893
LCPH,CY,34.717999,32.485699,146.07833135656918
CY-0041,CY,34.994262,33.749133,129.28298192799912
LCRA,CY,34.590401,32.9879,110.3209060422995
CY-0070,CY,34.666881,32.807612,162.0696974225236
CY-0008,CY,35.083178,33.900432,167.19694899477963
CY-0004,CY,35.014275,33.715851,147.6340910419149
CY-0071,CY,34.68261,32.838556,118.4719135290624
VEPG,IN,28.064786,95.336952,158.29075860379578
IN-0016,IN,27.302441,95.737031,192.58157969895558
VEMZ,IN,26.119101,85.313698,165.20162573844698
VEDB,IN,23.833999633789062,86.42530059814453,191.53997691233894
VABJ,IN,23.2877998352,69.6701965332,174.6229732281431
VAKS,IN,21.317101,70.270401,157.14281813461784
IN-0301,IN,13.856664,75.613747,131.70209958179748
VOTV,IN,8.48212,76.920097,163.21165290285117
VOSR,IN,16.0,73.533333,156.28751048668744
IN-0107,IN,16.002552,73.529846,132.93585608731144
VA1J,IN,23.75359916687012,78.85579681396484,131.83139336715706
VEKJ,IN,21.696667,85.581667,182.53095511795706
VEJP,IN,18.8799991607666,82.552001953125,178.855425451379
IN-0341,IN,27.316258,79.451555,160.4735028711359
VA2B,IN,28.904933,77.677524,197.65557107029636
VIDX,IN,28.707701,77.358902,133.05027972958516
VI82,IN,30.582583,78.323164,162.34660614644912
IN-0059,IN,22.7854403333,87.36225128170001,170.3712305147805
IN-0079,IN,23.471667,87.794167,198.33327965688076
IN-0099,IN,23.58331,87.339787,118.80716612728492
IR-0105,IR,34.985667,50.371786,159.8928048379691
OIGG,IR,37.323333,49.617778,131.12981467557455
OINN,IR,36.664286,51.46273,186.07142929968728
IR-001,IR,38.071998596191406,45.72359848022461,198.71024299144085
OIKF,IR,29.2342,56.606899,132.76826969841125
OIMS,IR,36.16809844970703,57.59519958496094,127.29911271600821
OIFH,IR,32.567166,51.69111,177.47250422539912
OIFE,IR,32.92890167236328,51.56110000610352,146.43680913360097
IR-0016,IR,28.239227,61.180453,183.7175853335694
IR-0018,IR,35.053018,49.18922,127.81346176996215
OIFS,IR,32.2971992493,50.8422012329,159.19536993651775
OICZ,IR,33.38359832763672,49.6963996887207,196.7120262262923
IR-0145,IR,30.64278,51.58891,167.5607127953731
IR-0139,IR,29.33337,50.35069,159.8930320176455
OIBJ,IR,27.820499,52.3522,196.5273246855349
OITZ,IR,36.7737007141,48.3594017029,145.04968688893968
OIZJ,IR,25.654757,57.801718,154.1451573405744
IR-0015,IR,35.943639,50.082056,132.130594147188
OI1C,IR,36.856899,54.202202,182.30504467098962
OIMX,IR,37.627899,56.1731,156.6092754161549
KG-0018,KG,40.2717018127,72.0470962524,186.3009403858764
KG-0009,KG,42.834,74.5774,121.165950645664
KG-0005,KG,42.99909973144531,74.29930114746094,190.90438744741994
KG-0007,KG,42.8288993835,75.33599853519999,187.93632792419885
KG-0027,KG,42.81890106201172,74.0730972290039,119.37285246860908
KG-0044,KG,42.88958,73.602004,194.76743256159926
KG-0028,KG,42.811500549316406,73.90049743652344,173.32721429254127
KG-0020,KG,40.534901,72.753799,190.40329915547673
KG-0033,KG,41.022871,72.98982,142.23083596223773
KG-0013,KG,41.000801,72.700699,139.83491876836192
KG-0032,KG,41.00820159912109,72.56330108642578,107.74753494522396
KG-0014,KG,41.484500885,71.7337036133,116.52969414217813
KG-0034,KG,41.197684,75.765463,115.16825778341034
KG-0035,KG,41.93410110473633,74.5363998413086,116.26553938502425
