AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
AD-0002,AD,42.544983,1.452258,103.52931253225509
LOGG,AT,47.146654,16.317058,185.1109402607425
LOAT,AT,47.798024,16.558172,147.29902987002353
LOWK,AT,46.642502,14.3377,148.52764184040686
LOLG,AT,48.10332,14.951091,134.30310651419632
AT-0011,AT,48.6976,16.6598,160.5741730572623
LOLT,AT,48.050556,14.661944,112.7220431592449
LOAA,AT,48.4189,15.215661,109.52962265770933
LOAD,AT,48.160081,15.58677,197.43521113609918
AT-0002,AT,47.7347054331,13.4438323975,196.02301534131013
LOLF,AT,48.513748,14.406579,141.4833465867177
LOLC,AT,47.898602,13.9394,158.12479204359443
LOSM,AT,47.131995,13.695867,165.76466314701665
LOWG,AT,46.9911,15.4396,198.28415929850337
LOGW,AT,47.170293,15.664468,115.97272328278466
DE-0354,AT,47.93474,14.350854,131.08852134896796
LOIR,AT,47.470897,10.6913,197.67087406937821
LOIA,AT,47.449756,12.396033,158.05223206628284
LOIJ,AT,47.5201,12.4497,147.36534274215535
AT-0013,AT,47.47909,9.60508,169.17521112892587
X-VIE,AT,48.2244,16.5082,168.60083025466005
BG-0120,BG,42.75117,26.7338,194.2365440979918
BG-0068,BG,42.757368,26.900321,181.46897048328213
BG-0115,BG,43.2595,25.3123,121.17409847524524
LBVR,BG,43.2559,23.5327,127.1390734896237
BG-0031,BG,42.943042,25.169528,193.9832690929499
LB13,BG,42.444199,22.9835,112.25249659512386
LBBO,BG,43.306875,24.691729,140.72128033923886
BG-0010,BG,43.623531,24.378567,109.27124154613215
LB11,BG,42.188747,24.535716,182.925100104887
BG-0083,BG,42.65839,24.68383,113.98064238726114
BG-0046,BG,43.5852521,25.6144416,104.34243232643458
LBBQ,BG,43.463484,25.711613,144.9518080371146
BG-0117,BG,43.62617,25.78988,179.477467877937
BG-0025,BG,42.374493,23.392854,178.43152120933837
LBHT,BG,42.42189,23.767221,144.16445360886996
BG-0017,BG,42.11302,26.382551,116.6101868852426
BG-0016,BG,41.815966,26.304145,110.04009497181951
BG-0042,BG,43.236482,27.045656,101.70817902602086
BG-0020,BG,42.507132,26.490739,130.116280292176
BG-0119,BG,42.58531,26.49089,177.0471442674827
CZ-0057,CZ,49.12821,14.17325,175.93009057548392
LKCM,CZ,49.236698,16.555,114.92342550827946
LKBA,CZ,48.790439,16.892531,153.4462647800219
CZ-0073,CZ,49.435539,16.593046,174.20531908858268
CZ-0185,CZ,50.59624,15.48122,199.08215164112468
LKVP,CZ,50.4678,16.205601,160.29310655820086
LKHD,CZ,50.6572,15.0778,153.1062276681021
CZ-0054,CZ,50.641667,14.541389,152.41555356000217
CZ-0158,CZ,49.7220654,18.3749167,142.02567172575337
CZ-0153,CZ,49.6527778,18.3458333,161.69195762797995
LKSU,CZ,49.960602,17.017799,166.76023632314153
CZ-0122,CZ,49.824177,16.194713,153.2275829742332
CZ-0192,CZ,49.97728,16.184921,127.2282316641991
LKMK,CZ,49.798302,16.687799,137.03613834446145
LKMB,CZ,50.3983,14.8983,154.75958968868437
CZ-0126,CZ,50.184305,15.166551,120.43787822355199
CZ-0079,CZ,49.974444,14.649167,160.10842503607668
LKHV,CZ,49.848099,13.8935,177.61827989120485
CZ-0145,CZ,51.008731,14.343853,114.26511160104013
LKJI,CZ,49.419399,15.6353,175.1699494241841
EETN,EE,59.41329956049999,24.8327999115,149.79266195337297
EEHA,EE,59.3579,24.3795,143.62963874776324
EEEI,EE,59.26029968261719,24.208499908447266,166.04211603187466
EENA,EE,59.388599,28.1136,138.75002029974638
EEJI,EE,59.329167,27.397222,105.47392430788517
EENI,EE,58.865002,25.73,175.56051435811816
EE-9278,EE,59.53670120239258,26.31170082092285,135.09930947041352
EEPU,EE,58.41899871826172,24.47279930114746,172.91852488815465
EERA,EE,58.9864006042,24.7243995667,125.46236993973044
EE-0009,EE,58.707634,24.221667,181.25191111368937
EE-0001,EE,58.3650016784668,22.44499969482422,176.82514358961788
EE-0007,EE,58.3121457,22.2644062,157.81844158324623
EE-0010,EE,57.983715,22.194271,182.70029730811075
EE-0005,EE,58.2133333,22.51,138.4217390481155
EERU,EE,57.783901,23.2661,104.39970612864613
EEKE,EE,58.22990036010742,22.50950050354004,141.70174281043458
EE-7685,EE,57.81330108642578,26.07670021057129,162.8867415799096
EETI,EE,57.952306,26.476493,151.42808671610464
EEVI,EE,58.348374,25.494831,188.0329594643685
EEVU,EE,57.63288,26.671085,113.17558317264337
UGMS,GE,43.053597,42.749012,187.24131843113497
LXGB,GI,36.151199,-5.34966,191.23816724326824
