AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
SAYE,AQ,-63.400002,-56.983299,147.74271842587112
EGAR,AQ,-67.5675,-68.127403,139.42354406560838
SAWZ,AQ,-64.976998,-60.108992,104.39224696771774
NZWD,AQ,-77.867401,167.057007,156.68584806323287
EGQA,AQ,-1.0,-1.0,161.83140000559428
SCBO,AQ,-63.344,-57.842,166.5721705705131
NZPG,AQ,-77.963402,166.524994,165.2944875056137
EGAH,AQ,-75.567406,-25.516435,105.93592282258618
AT03,AQ,-75.103278,123.35825,149.6013460543475
NZ12,AQ,-64.774582,-64.035907,186.7353670855809
YNRB,AU,-32.107465,118.407109,123.68819478656957
YSNB,AU,-11.417674,130.648481,115.6162447416726
YMCT,AU,-37.58359909057617,140.36599731445312,100.16695188432662
YMKB,AU,-30.918453,118.254808,189.3906994606392
YADS,AU,-26.488959,139.259906,187.31486375666051
YMKA,AU,-14.928779,133.135457,163.70745852676066
YARI,AU,-21.66670036315918,141.56700134277344,108.34557875066591
YLTV,AU,-38.211004,146.470817,181.90924558559055
YMDT,AU,-31.82670021057129,128.22999572753906,156.6539052837921
YINN,AU,-27.697589,140.739498,121.85626305581114
AZ-0018,AZ,39.83179,48.966751,191.7006747897363
AZ-0009,AZ,40.120419,48.145716,142.66098211828026
AZ-0013,AZ,40.807313,49.431481,163.07692165148381
UB12,AZ,40.591599,49.5574,157.68753563684888
UBBQ,AZ,40.808617,47.725389,113.20316260013401
AZ-0017,AZ,40.03094,48.902764,102.49262739939891
UBBA,AZ,41.123616,45.420793,130.51557364822878
AZ-0014,AZ,40.347106,49.671321,147.97131888674403
UG11,AZ,40.8876,45.957001,160.24715455798116
UBBN,AZ,39.18880081176758,45.45840072631836,156.56523894887263
VGTJ,BD,23.77879905700684,90.38269805908205,183.37406477038223
BD-0024,BD,21.77327,92.06874,114.66711824433634
BD-0023,BD,22.50999,91.79041,199.59938381602717
VGEG,BD,22.249599,91.813301,128.3991592666804
BD-0039,BD,24.21232,90.9065,155.80453020168522
BD-0003,BD,21.419863,91.981569,190.3784572221735
BD-0019,BD,22.7389,91.06489,140.03260112403427
VGBR,BD,22.801000595092773,90.30120086669922,107.56906459289614
VGJR,BD,23.1838,89.160797,159.69501616637353
VGRJ,BD,24.43720054626465,88.61650085449219,124.53287855540987
EBGL,BE,50.73973,5.5421,127.13804903783041
EBNO,BE,50.854401,3.98528,107.54336311465423
EBFD,BE,50.550835,4.996389,178.08315152503093
EBBX,BE,49.891483,5.227405,141.30705536808355
BE-0037,BE,50.53108,3.60476,164.45089195123762
EBSH,BE,50.0359,5.40425,151.83270272291062
EBLN,BE,50.579514,4.79153,136.78122542993606
EBBO,BE,49.866402,5.06806,174.7379988098663
EBFN,BE,51.090302,2.65278,188.31486913315928
BE-0001,BE,50.176388,4.352222,144.68640727820718
BI-0001,BI,-3.471371,30.231485,151.36524324895348
BI-0002,BI,-2.879447,29.832178,195.66781572803276
HBBL,BI,-4.339434,29.598245,192.36467652474659
HBBA,BI,-3.32402,29.318501,166.78085767685224
HBBK,BI,-4.0342,30.1318,108.71333666924363
HBBE,BI,-3.417209,29.911308,170.63860611698266
HBBO,BI,-2.544772,30.094575,132.53345703548047
DBBS,BJ,8.018170356750488,2.4645800590515137,128.39561364907286
DBBD,BJ,9.69208333333,1.63777777778,174.10061333315468
DBBK,BJ,11.14479,2.940381,120.41139517692014
DBBC,BJ,7.125417,2.046806,159.88976679961206
DBBO,BJ,11.046563,0.992613,131.62858782708327
BJ-0001,BJ,9.391186,2.507311,158.60267636940003
DBBN,BJ,10.376965,1.360507,180.03869694414936
DBBB,BJ,6.357230186462402,2.384350061416626,155.86198626734637
DBBR,BJ,10.27409,2.697082,178.05966444673163
DBBP,BJ,9.35768985748291,2.609679937362671,147.83710796439186
WBSB,BN,4.9442,114.928001,142.42224131510343
WBAK,BN,4.635158,114.378748,114.57661728262401
UMNM,BY,53.945,30.244,157.49222098833954
BY-0015,BY,55.144536,26.829358,194.94675118831714
BY-0019,BY,53.598206,24.9719,139.03115695189777
BY-0041,BY,53.830978,27.376385,130.75247885220978
BY-0030,BY,52.75557,24.462681,167.05580256238693
BY-4247,BY,52.30500030517578,31.163299560546875,107.39357265651526
BY-0001,BY,54.439999,30.2967,193.69289265183107
UMMR,BY,53.303,24.369,195.71063760695046
UMII,BY,55.126499176025,30.349599838257,145.8914716258094
BY-0006,BY,52.5569992065,24.8840007782,162.73563741910158
FEFI,CF,10.23639965057373,22.71689987182617,180.1438667049298
FEFW,CF,8.010560035705566,22.39859962463379,190.11986901999262
FEFP,CF,7.25,16.433000564575195,143.26427797736193
FEFQ,CF,6.982999801635742,19.183000564575195,182.6167242613133
FEFR,CF,6.527780055999756,21.98940086364746,154.25815635508445
FEFF,CF,4.39847993850708,18.51880073547364,177.45847366897507
GDA,CF,9.316703,21.185,124.302033006503
FEGU,CF,6.517000198364258,18.26700019836425,195.15908987589296
FEFB,CF,5.403889,26.487222,185.22585893578406
FEGR,CF,4.988609790802002,23.92779922485352,162.791838245511
NCRG,CK,-21.2027,-159.806,178.80863143991877
NCMR,CK,-19.842501,-157.703003,198.1416680659931
NCMK,CK,-20.13610076904297,-157.34500122070312,172.66129953131664
NCMG,CK,-21.89598655700684,-157.9066619873047,105.3619818874709
NCMH,CK,-10.376700401306152,-161.0019989013672,121.92289924382017
NCAI,CK,-18.8309,-159.764008,141.33324758317252
NCPY,CK,-9.01436996459961,-158.03240966796875,195.37495272023335
NCPK,CK,-10.9145,-165.8393,120.69855147966271
NCMN,CK,-19.269152,-158.959408,132.54203573425988
NCAT,CK,-19.96780014038086,-158.11900329589844,155.7493911873079
SCFU,CL,-40.06639862060547,-72.53780364990234,152.08436922707958
SCIA,CL,-42.59972381591797,-73.21221923828125,172.7634764521059
SCNM,CL,-37.776112,-73.383614,178.10443315132164
SCLT,CL,-34.112222,-71.938056,158.0260070279227
SCBB,CL,-37.587222,-72.503611,141.3529021458802
SCCA,CL,-35.97138977050781,-72.2249984741211,179.92163803653528
SCOM,CL,-32.997093,-71.17169,133.13989321201444
SCPW,CL,-34.40888977050781,-71.16889190673828,151.8120854223423
SCDH,CL,-42.488887786865234,-72.35055541992188,165.52051687499994
SCYU,CL,-40.940556,-73.011667,114.29847165723385
CN-0157,CN,48.38745,124.43127,166.6400074107931
ZWKC,CN,41.677856,82.872917,128.24201814692478
CN-0207,CN,45.406874,126.320977,123.42893794854871
CN-0396,CN,27.2235,111.6741,162.95636229728643
CN-0093,CN,36.769139,116.639787,181.3225579043451
CN-0237,CN,37.661333,75.288877,191.31795692342678
ZUJZ,CN,32.853333,103.682222,115.3796466741069
CN-0362,CN,38.588095,106.539788,173.30229573567556
ZUMY,CN,31.428101,104.740997,177.62792805540664
LFQ,CN,36.041083,111.491683,199.30337796823937
SK-203,CO,8.91,-75.799167,162.48121296103008
SK-029,CO,6.284479,-71.097732,109.48643833618831
SK-240,CO,3.266667,-75.168056,185.44946976477155
SKPE,CO,4.81267,-75.7395,121.40970747113198
SK-424,CO,4.093333,-74.910278,169.25428870501707
SK-352,CO,4.078611,-73.079444,174.60575009957748
SK-205,CO,9.058381,-75.782021,104.96692704438571
SK-241,CO,3.066667,-75.1875,197.7027951360655
SK-400,CO,4.185556,-74.895833,195.57715087064588
SKCU,CO,7.96847,-75.1985,172.93124691504815
DE-0131,DE,51.6619,9.6044,148.28599648888195
EDAZ,DE,52.204631,13.159526,114.70231682927631
EDCA,DE,53.832779,13.668611,130.7942341151383
EDCL,DE,52.709442,12.073333,169.56442336546945
DE-0391,DE,48.901667,8.328333,197.96971163211987
DE-0219,DE,51.8453,9.0141,168.79136164784111
DE-0433,DE,53.41861,11.80167,191.69520129462353
DE-0053,DE,49.2120464989,12.6541042328,195.8795255556559
EDNQ,DE,48.848057,10.333889,136.91879971097634
EDRN,DE,49.96992,7.478357,165.80271246290675
EKSL,DK,55.452222,11.644722,105.95364227501446
DK-0050,DK,57.422473,9.862525,119.70216135096493
DK-0033,DK,56.071002,9.867514,104.40999544615977
EKHG,DK,56.1847,9.04445,110.58682596091279
DK-0014,DK,55.07485,9.753379,155.3348269540562
EKNS,DK,54.8172,11.1308,164.93490041565528
DK-0005,DK,55.543022,10.032566,189.4887111158231
DK-0013,DK,55.210902,11.717592,130.63243823879336
EKLS,DK,57.27719879150391,11.000100135803224,119.19425441475198
EKGL,DK,55.8855556,12.2280556,101.56937452390117
DAOY,DZ,33.7216666667,1.0925,167.9359161103578
DAAF,DZ,27.0624,1.1111,142.2344387481707
DZ-0011,DZ,29.80322,0.60902,166.48803804934957
DAON,DZ,35.013426,-1.457191,154.3922066660237
DABC,DZ,36.2760009765625,6.620389938354492,160.27001432062568
DA10,DZ,26.573601,8.48366,187.46108380528756
DAUO,DZ,33.5113983154,6.77679014206,146.08053742075313
DAAX,DZ,36.7782,2.9284,180.22021592112418
DAOO,DZ,35.623901,-0.621183,119.8913106088876
DZ-0017,DZ,30.33557,7.834783,198.46055099281082
SEHZ,EC,-2.363793,-77.406923,162.47870576516584
EC-0034,EC,-1.649742,-77.047942,195.00182340666748
SEIR,EC,-2.219802,-76.814087,183.17510036586242
EC-0010,EC,-1.650816,-77.596069,123.82153408255256
SEJE,EC,-2.744252,-77.487304,137.50150979700345
SEBW,EC,-1.260964,-76.387219,106.90915837963466
SEEZ,EC,-2.750557,-77.556644,185.02041781072313
SE09,EC,-2.174602,-79.234887,157.8682907314359
SEKH,EC,-2.033081,-77.670886,179.80497906648685
SE13,EC,-1.7033530473709106,-79.53804779052734,190.43513343115578
EE-0007,EE,58.3121457,22.2644062,190.85271912319845
EEVU,EE,57.63288,26.671085,156.06402980582214
EERA,EE,58.9864006042,24.7243995667,170.91882592031075
EEVI,EE,58.348374,25.494831,175.21601156964974
EE-7685,EE,57.81330108642578,26.07670021057129,187.5957248241158
EE-0005,EE,58.2133333,22.51,170.12036240648956
EEEI,EE,59.26029968261719,24.208499908447266,123.107789854472
EEHA,EE,59.3579,24.3795,146.87256601654587
EEKE,EE,58.22990036010742,22.50950050354004,106.32384088273695
EEPU,EE,58.41899871826172,24.47279930114746,178.95869416533458
FK-0015,FK,-51.755735,-60.534498,123.1724776789645
FK-0024,FK,-51.459942,-58.612131,105.36098701760403
FK-0027,FK,-52.181403,-58.858788,145.11118548136255
FK-0006,FK,-51.539398193359375,-60.35639953613281,141.06703187538653
FK-0026,FK,-52.2299,-59.744502,183.76198413908537
FK-0013,FK,-52.205532,-60.535062,129.96868474732358
FK-0004,FK,-51.345611572265625,-60.6839714050293,118.73648771811186
FK-0036,FK,-51.310931,-59.566162,139.6810817309078
FK-0033,FK,-51.613225,-59.516675,129.37409215596585
FK-0030,FK,-51.365478,-59.691389,169.16136826773908
FM-0001,FM,7.376259803771973,143.9080047607422,168.38813601342613
FM-0002,FM,6.675669,149.299543,184.4769016171279
PTSA,FM,5.35698,162.957993,104.13476560813146
FM-ULI,FM,10.0198,139.789993,111.35928890430264
PTPN,FM,6.985099792480469,158.20899963378906,101.1275629764661
PTKK,FM,7.461870193481445,151.84300231933594,110.67565194659097
PTYA,FM,9.49891,138.082993,118.61928817516309
FOGF,GA,-1.278325,10.612497,150.12210629110348
FOGE,GA,-2.4,11.367,125.86235105148371
FOGK,GA,-1.1846100091934,12.441300392151,114.83112322538561
FOGR,GA,-0.7043889760971069,10.245699882507324,170.63437911138385
GA-GAX,GA,-2.785278,10.047222,187.17877596929094
GA-0006,GA,-0.02894,11.418021,166.7674557673754
GA-0008,GA,-0.144131,12.187929,125.23462638149824
FOOR,GA,-0.8266670107841492,12.748600006103516,124.03405928220234
FOON,GA,-1.6561599969863892,13.437999725341797,108.335106744845
GA-0009,GA,-0.539352,12.633707,119.33746817118498
SOGS,GF,4.285833,-54.373056,114.87007262151607
SOOR,GF,4.31339,-52.132745,135.02423989003458
SOOS,GF,3.61361,-53.204201,149.17358439091885
SOOG,GF,3.8976,-51.8041,135.71836815160864
GF-0003,GF,4.816117,-53.289505,132.85459963147008
GF-0010,GF,5.66342,-53.76469,100.43858439949354
GF-0013,GF,4.89211,-52.49146,106.35557786071361
GF-0002,GF,4.21009,-51.667702,138.89001472683236
GF-0001,GF,5.176046,-52.694206,104.83088892523261
GF-0004,GF,3.172847,-52.336142,133.40809578050755
LXGB,GI,36.151199,-5.34966,151.31455121106535
GBYD,GM,13.338,-16.652201,162.60047146142347
OCS,GQ,0.9125,9.3304,101.4864804275302
FGSL,GQ,3.755270004272461,8.708720207214355,102.36274285888692
GQ-0001,GQ,1.636763,11.302458,194.3763538376917
FGBT,GQ,1.90547,9.80568,197.09639915560885
MDV,GQ,1.0085,10.7552,134.5171903017734
FGAB,GQ,-1.408615,5.624163,129.1873080124138
FGMY,GQ,1.685334,11.024394,153.79955613474345
GR-0028,GR,37.65919,22.704,173.3612484301126
GR-0011,GR,35.5295502,23.8330614,194.6230451223443
LGRD,GR,36.383099,28.1089,196.60129012529092
LG55,GR,37.094101,21.9904,168.39942296496017
GR-0001,GR,40.840795,21.823633,144.37328696966796
LGAV,GR,37.936401,23.9445,171.88267940567692
LGLR,GR,39.650253,22.4655,170.86844841678106
LGIO,GR,39.6964,20.8225,131.02894277403902
LGSA,GR,35.5317,24.1497,192.12626670519919
LGAT,GR,37.89162,23.730211,110.75733227204849
GG64,GW,11.536858,-14.761904,125.97652001537108
GGBF,GW,12.176437,-14.657811,175.25084247996284
GGOV,GW,11.894800186157228,-15.65369987487793,177.95001748735453
GGBU,GW,11.297355651855469,-15.838079452514648,128.75820987807833
GGGB,GW,12.292002,-14.236044,195.69820073268139
GGCF,GW,11.2878999710083,-15.180500030517578,198.16851921709906
GW-0001,GW,12.32008,-13.958281,118.21796451996434
SYLD,GY,5.96592,-58.270302,183.58310428577965
GY-0004,GY,6.37616,-57.606478,103.86202914773158
SYVB,GY,6.257711,-57.650478,191.8366602962151
GY-0006,GY,6.15153,-57.22611,143.91301208918316
SYBT,GY,6.358864,-58.655207,118.15355698469939
SYAN,GY,3.959439992904663,-59.12419891357422,110.11729261687624
SYPR,GY,5.81724,-61.055489,173.3908991692256
SYMR,GY,7.487736,-60.185237,196.40168639324224
SYCP,GY,4.81955,-60.025623,116.92567095109459
SYNA,GY,6.244324,-57.474172,182.47563614206993
HR-0016,HR,46.32439,16.60041,108.22971481813713
LDVK,HR,46.2131,16.8372,110.06466459436852
LDPP,HR,44.876066,13.846447,132.80365701601156
LDOV,HR,45.2510986328125,18.75919914245605,132.0084879181333
LDZS,HR,45.465556,16.486389,160.65890191165389
LDRI,HR,45.21689987182617,14.570300102233888,161.32016408779242
LDPN,HR,44.628299713134766,14.241100311279297,109.90779930377953
HR-0006,HR,45.618117,15.79348,163.74556214941725
HR-0001,HR,45.585,17.211389,169.3987496676217
HR-0017,HR,44.84589,15.774307,128.77631459004652
WAPC,ID,-4.5214,129.9054,161.84442375292787
WIDS,ID,-0.47918900847435,104.5790023803711,186.3830496808642
WIOS,ID,0.063851,111.473572,151.22452420649824
ID-0088,ID,-4.0256,138.2046,153.2399977998106
WALT,ID,-0.0929730013013,117.45300293,191.0674067254935
WAWW,ID,-4.08161,122.417999,177.76166391025407
ID-0266,ID,-4.21977,139.41273,175.1167601496582
ID-0062,ID,-3.6799,140.22955,123.50606114994682
ID-0176,ID,-3.959166,139.901563,188.49537058717033
ID-0077,ID,0.1228,111.4197,151.0846754029726
LLBO,IL,32.649854,34.933126,137.04868138831796
LLHB,IL,31.23340034484864,34.662601470947266,170.26063022227316
IL-0007,IL,31.9672,34.7536,121.19669184263205
LLHZ,IL,32.180599212646484,34.83470153808594,120.04687748480683
LLIB,IL,32.980999,35.571899,185.9082920292261
LL60,IL,30.859399795532227,34.44309997558594,128.82969603390035
IL-0005,IL,31.8692,34.6907,129.17656650061195
LLSD,IL,32.1147,34.7822,125.22715148471141
LLOV,IL,29.9403,34.935799,108.69036065182775
LLMR,IL,30.65060043334961,34.80690002441406,187.3385494640661
EGNS,IM,54.083302,-4.62389,126.41306587596513
IM-0001,IM,54.371111,-4.423333,109.39022927975654
IM-0006,IM,54.33583,-4.4375,128.6318756148679
IM-0002,IM,54.354,-4.5238,111.70241370671984
IM-0004,IM,54.356006,-4.438477,186.40528708125314
IM-0003,IM,54.182127,-4.51311,164.6500348179294
ORKK,IQ,35.46950149536133,44.348899841308594,129.3360552822721
IQ-0029,IQ,33.591599,44.594937,119.02325175993276
IQ-0055,IQ,31.41740226745605,43.1823616027832,183.3291644358915
IQ-0049,IQ,32.29306411743164,44.88743209838867,166.33287805518088
IQ-0052,IQ,34.608257,43.775711,131.2623606008686
IQ-0001,IQ,35.135398864746094,43.72520065307617,123.87385592850615
IQ-0005,IQ,33.44088,42.913307,162.52575586268586
IQ-0047,IQ,30.426825,47.642235,171.67561440316146
IQ-0011,IQ,30.6469955444336,44.56970977783203,116.35790706547175
IQ-0037,IQ,35.75707244873047,43.26463317871094,119.32017953039852
OIKF,IR,29.2342,56.606899,113.48780340467519
IR-0016,IR,28.239227,61.180453,112.44223918021913
OIMX,IR,37.627899,56.1731,129.6696767177471
IR-0139,IR,29.33337,50.35069,184.88654396637446
OIMS,IR,36.16809844970703,57.59519958496094,190.13580637196466
IR-0105,IR,34.985667,50.371786,109.1185856615314
IR-0015,IR,35.943639,50.082056,122.44585669943729
OIFE,IR,32.92890167236328,51.56110000610352,195.10230309750102
OICZ,IR,33.38359832763672,49.6963996887207,195.6314038663574
OIBJ,IR,27.820499,52.3522,145.2381416494406
FMCN,KM,-11.7108,43.2439,134.01566324035525
FMCH,KM,-11.5337,43.2719,190.99633881485215
FMCV,KM,-12.131047,44.430044,164.15464368709465
FMCI,KM,-12.2981,43.766399,193.20394853786001
HL84,LY,27.97570037841797,22.35740089416504,108.9973627832417
HL50,LY,28.587099075317383,19.30340003967285,122.19187757465045
HLZU,LY,30.870199,20.0755,139.04018342960785
HL57,LY,24.178316,14.542894,119.39091699414311
LY-0004,LY,26.033861,12.925694,136.16710208818498
HL80,LY,30.643,18.320801,130.98723978296334
HL68,LY,32.4529,23.118601,163.39293768484953
HLLQ,LY,32.7887,21.9643,179.1095630580956
HLWA,LY,28.322399139404297,19.93000030517578,104.75639601959527
HL70,LY,27.257299423217773,21.618099212646484,131.38593240525216
LUBM,MD,47.862701416015625,28.212799072265625,164.96877217060194
MD-0002,MD,47.06809997558594,29.095399856567383,187.39184039102702
MD-0007,MD,46.45025,29.92919,154.45879334464217
LUCH,MD,45.8438,28.2637,174.257604096279
LUKK,MD,46.92770004272461,28.93099975585937,165.41564591462793
MD-0003,MD,46.83656,28.901639,141.82651819213274
LUBL,MD,47.837666,27.781108,139.8265904828226
MD-0004,MD,47.2521452,28.2802413,193.68954376828913
LUTR,MD,46.868099,29.590599,195.022836082894
MD-0006,MD,46.18065,28.38241,172.1543374011925
LYBR,ME,42.8390007019043,19.86199951171875,182.92845531764908
LYNK,ME,42.773039,18.916311,167.65196274973295
ME-0001,ME,41.88909,19.34169,192.50085805896248
LYPG,ME,42.359402,19.2519,126.92268034666306
LYTV,ME,42.40470123291016,18.72330093383789,109.13142393494637
LYPO,ME,42.422318,19.290777,170.23622829152035
ZBK,ME,43.116669,19.233334,167.29182459511742
MH-MAV,MH,8.70444011688,171.229995728,111.27381496964462
MH-0002,MH,7.090278,171.381389,100.87500693563234
MH-EBN,MH,9.330559730529783,166.82000732421875,185.20510220061516
PKRO,MH,9.39689,167.470993,184.92512272375566
MH-RNP,MH,11.1572,166.886993,126.23080216255026
PKMJ,MH,7.064760208129883,171.27200317382812,191.53896315783317
MH-WTO,MH,10.173299789428713,166.0030059814453,106.89820054555646
MH-JAT,MH,7.749775,168.977838,154.06509881566154
UJAP,MH,8.92805957794,165.761993408,119.8878207120846
MH-LML,MH,8.921110153198242,166.26499938964844,182.8617282703698
MK-0010,MK,42.025968,22.355895,170.46285040496494
MK-0014,MK,41.92919,20.93601,141.3392337604026
LW69,MK,41.429551,21.402176,183.1777622819959
LWOH,MK,41.18,20.7423,149.2235690502954
LW71,MK,41.828073,21.986585,105.54837610992914
LW74,MK,41.017721,21.426186,176.95887383503467
MK-0003,MK,41.26633,22.18748,136.06757956280723
MK-0011,MK,41.540292,22.104539,103.68615197583975
LW66,MK,41.333099,21.4491,125.44550291195971
LW67,MK,42.154242,21.699328,137.89839767025788
MW-0001,MW,-11.8353,34.16446,126.64776160996668
FWBG,MW,-16.578408,35.116148,157.47274275855577
FWKI,MW,-13.7894001007,33.78099823,105.21337367670802
FWSU,MW,-16.269338,34.877216,170.4284927636213
FWKA,MW,-9.953570365905762,33.893001556396484,162.98651859976576
FWZA,MW,-15.386309,35.383575,195.4472306132152
FWMC,MW,-13.800000190734863,32.900001525878906,112.57808097813555
FWSM,MW,-13.755892702500002,34.5841884613,187.72363604855133
FWLK,MW,-12.079787,34.736253,154.81384251875636
FWDZ,MW,-14.383,34.317001,130.90676799964606
MY-0022,MY,6.0941667556762695,116.97000122070312,155.02973338382185
MY-0023,MY,5.966388702392578,117.29638671875,179.99794140434162
MY-GTK,MY,2.64118,102.89297,155.43681804137947
WBKU,MY,5.597195,115.582695,198.36907120640728
WBGO,MY,3.197567,115.308802,112.82534962740417
WBGR,MY,4.32201,113.987,166.76190325633678
MY-0016,MY,5.406111240386963,118.3963851928711,187.56090803244643
WBKP,MY,5.996571,117.404795,129.6056170097841
WBGK,MY,2.881944,112.043333,195.60880074858426
WBGM,MY,4.178734,114.330318,141.80747462576613
AME,MZ,-15.6102777778,37.6813888889,158.77065346513623
FQFU,MZ,-14.91860008239746,33.628299713134766,126.00710495314708
MZ-0045,MZ,-21.547634,35.119673,173.5249846776135
FQPO,MZ,-26.826913,32.838444,180.4946287180179
MZ-0004,MZ,-21.9672451019,35.4247283936,115.05011574816335
MZ-0009,MZ,-23.866113,35.136698,137.75105097351832
MZ-0035,MZ,-12.525447,39.654529,142.97879318382746
MZ-0018,MZ,-20.913318,34.283153,125.79537818114554
MZ-0048,MZ,-10.84903,40.50541,101.27663371516302
MZ-0010,MZ,-22.044039,34.158814,188.45696693580766
DNJO,NG,9.639829635620115,8.869050025939941,110.08750967446838
DNMM,NG,6.5773701667785645,3.321160078048706,145.4731367520418
DNFB,NG,4.405856,7.181907,128.51434146909472
DNKA,NG,10.696000099182127,7.320109844207764,121.03944342503695
DNJA,NG,8.900587,11.27946,102.67401261767813
NG-0007,NG,7.801829,6.582793,109.80343528636266
NG-BCU,NG,10.294402,9.816672,192.23350411732258
NG-0008,NG,7.909458,10.374472,137.6701588638095
DNBE,NG,6.316979885101318,5.599500179290772,113.4743627274072
DNDS,NG,11.795168,9.311667,163.64583604588833
EHDL,NL,52.0606,5.87306,191.44895924671079
NL-0067,NL,52.965093,6.508605,106.06280073029636
EHGR,NL,51.567402,4.93183,146.44978089859072
EHVB,NL,52.1660995483,4.41794013977,124.00453221143644
EHHV,NL,52.191898,5.14694,158.57116567507992
NL-0008,NL,51.358334,6.1525,186.29415141188332
EHSE,NL,51.554901,4.553003,158.16776717911068
EHAL,NL,53.453612,5.678396,169.24687775992368
EHWO,NL,51.4491,4.34203,183.3544815803645
EHNP,NL,52.73071,5.746676,152.52464288204902
OM-0027,OM,22.18087,55.99709,138.86926655051872
OOII,OM,23.18626,56.43333,165.07213216829558
OOKB,OM,26.171,56.240601,180.84563507430857
OM-0007,OM,22.25691,59.74067,158.43413811296114
OOJA,OM,19.4749,57.3083,197.3761844550475
OOMS,OM,23.593299865722656,58.284400939941406,195.11293898425697
OM-0004,OM,23.640556,57.4875,103.7513839358662
OOTH,OM,17.666000366210938,54.024600982666016,184.6638568650332
OOSH,OM,24.38604,56.62541,110.55607646271568
OM-0023,OM,17.46854,53.36056,146.3514994737955
OTBH,QA,25.1173000336,51.3149986267,183.5419210755246
OTBK,QA,25.629601,51.506699,113.81567453020452
QA-0009,QA,24.988976,51.50031,115.70625073818242
QA-0014,QA,25.40051,50.826614,121.71381799010943
OTHH,QA,25.273056,51.608056,121.4145945955363
QA-0001,QA,25.467722,50.999479,172.8204931436687
OTBD,QA,25.261101,51.565102,157.21868061971773
QA-0012,QA,25.76411,51.29276,137.9072732383138
OT62,QA,25.700539,51.36303,178.72907387078135
FMEP,RE,-21.319362,55.422506,111.75444854019449
RE-0006,RE,-21.15235,55.27887,181.29642755488535
RE-0001,RE,-21.111944,55.261667,181.78215487422884
FMEE,RE,-20.890087,55.518894,130.20253085176853
RE-0002,RE,-20.98608,55.66457,133.4893702334032
RO-0047,RO,44.491637,25.584884,174.4299459722916
LRAR,RO,46.17660140991211,21.261999130249023,197.69209451943016
LRCK,RO,44.36220169067383,28.488300323486328,149.706665750537
RO-0027,RO,46.3927664,25.7776699,191.74338899220027
