AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
LTCP,TR,37.7314,38.468899,115.79372545778955
LTAH,TR,38.726398,30.601101,138.33524105461612
LTAI,TR,36.898701,30.800501,166.4545245060267
LTBD,TR,37.815389,27.887566,159.09758608839024
LTBG,TR,40.318001,27.977699,135.2294575289578
TR-0017,TR,38.8592605591,40.5959625244,198.7389908302315
TR-0035,TR,38.54180145263672,42.332401275634766,159.24448902097382
TR-0018,TR,40.74797058105469,31.650066375732425,133.73143493743348
LTBR,TR,40.2551994324,29.5625991821,184.48230914184487
LT86,TR,40.204498,25.883302,132.3345421749135
TR-0009,TR,37.828125,29.637863159179688,117.06602925220925
TR-0011,TR,38.01278305053711,39.95493698120117,177.39655967090602
TR-0028,TR,40.787068,26.606655,151.69971444207533
LTCD,TR,39.7102012634,39.5270004272,176.0350472523175
LTAJ,TR,36.947201,37.478699,105.52376841177784
TR-0038,TR,37.5439478243,44.3380093575,171.6630681994891
LTDA,TR,36.362778,36.282223,185.2325160017228
LTFC,TR,37.8554,30.368401,101.92744588222406
TR-0044,TR,36.890908,35.070522,166.2545627863209
LTBA,TR,40.971913,28.823714,191.7278960083873
LTCF,TR,40.562198638916016,43.1150016784668,106.79655693547383
TR-0013,TR,37.859693,32.456789,188.86129027338671
LTBZ,TR,39.113079,30.128111,159.15811492584103
LTCR,TR,37.2233009338,40.6316986084,142.80330143208113
TR-0037,TR,38.7861877312,41.4696979523,105.2433615565592
TR-0036,TR,41.141201,37.209202,177.76972668948332
LTAQ,TR,41.278645,36.30518,161.63856083681753
TR-0002,TR,39.3316650390625,38.0918197631836,147.65864053853113
LTAW,TR,40.307430267333984,36.367408752441406,172.06902734582212
LTCG,TR,40.995098,39.7897,119.77404150394057
LTCS,TR,37.445663,38.895592,118.94542433238823
LTCI,TR,38.46820068359375,43.332298278808594,141.38811914633712
LTAX,TR,41.25139999389648,31.41080093383789,164.33480416962487
TR-0014,TR,38.314704,33.8055,195.05395616532044
TR-0065,TR,39.86236,33.483787,165.23534949511583
LTCJ,TR,37.9290008545,41.1166000366,156.81188366390782
LTCV,TR,37.3647,42.0582,160.17285653006846
LTCT,TR,39.976627,43.876648,145.49340547212574
LTBP,TR,40.68439865112305,29.37569999694824,137.79720112582956
TR-0120,TR,36.637415,37.474492,184.26595371174463
