from,to
VLXK,CN-0019
VLXK,ZHHH
VLXK,AM-0008
VLXK,LCRA
VLXK,UBEE
VLXK,CN-0235
VLXK,AZ-0006
VLXK,CN-0359
VLXK,ZSJD
VLXK,VLSK
VLXK,VYPU
VLXK,CN-0110
VLXK,VRMV
VLXK,VDSR
VLXK,WPOC
VLXK,CY-0025
VLXK,MV-0003
VLXK,MV-0004
VLXK,OLKA
VLXK,CN-0040
VLXK,LLBS
VLXK,UGEJ
VLXL,CN-0059
VLXL,VNLT
VLXL,RCXY
VLXL,OLBA
VLXL,AM-0004
VLXL,VYTN
VLXL,VDKK
VLXL,FND
VLXL,CY-0003
VLXL,VLSV
VLXL,VYAS
VLXL,CY-0071
VLXL,MV-0002
VLXL,CN-0235
VLXL,MV-0001
VLXL,FJDG
VLXL,VNDH
VLXL,VYMD
VLXL,AZ-0003
VLXL,TW-0001
VLXL,VNDP
LLEK,LLET
LLEK,IQ-0043
LLEK,IQ-0029
LLEK,VYLS
LLEK,MV-0003
LLEK,MV-0008
LLEK,TW-0032
LLEK,VNLD
LLEK,LB-0008
LLEK,TW-0039
LLEK,IL-0011
LLEK,LLMR
LLEK,KH-0002
LLEK,MV-0004
LLEK,ZSJD
LLEK,LLMG
LLEK,AZ-0006
LLEK,VNPK
LLEK,ORMM
LLEK,VNLT
LLEK,MV-0010
LLEK,TL-0002
LLEK,VYPT
LLEK,WPDL
LLEK,LLBS
LLEK,RCMS
LLEK,VYPK
LL59,ORKK
LL59,AZ-0001
LL59,TW-0058
LL59,OMY
LL59,LLBO
LL59,CY-0044
LL59,VYSA
LL59,VDRK
LL59,VY02
LL59,RCMT
LL59,TW-0062
LL59,AZ-0006
LL59,VNMN
LL59,ORBD
LL59,UBBQ
LL59,CY-0008
LL59,LCLK
LL59,AZ-0018
LL59,VYBG
LL59,VDSV
LL59,VNTR
LL59,VDSY
LLET,IQ-0005
LLET,LLEK
LLET,CY-0025
LLET,VRMD
LLET,VYPT
LLET,WPDB
LLET,ORSH
LLET,VRMG
LLET,AEQ
LLET,AXF
LLET,IQ-0032
LLET,RCXY
LLET,LA-0005
LLET,VRMO
LLET,ID-KCI
LLET,LCEN
LLET,CY-0050
RCAY,CY-0001
RCAY,AM-0001
RCAY,VYLN
RCAY,ORSH
RCAY,AZ-0012
RCAY,IL-0003
RCAY,WPOC
RCAY,CY-0050
RCAY,LCEN
RCAY,CN-0331
RCAY,ORSU
RCAY,OLKA
RCAY,VNBR
RCAY,TW-0001
RCAY,ZGLD
RCAY,RCMT
RCAY,LLBS
RCAY,TW-CMJ
RCAY,VRMG
RCAY,VRDA
RCAY,LA-0004
RCAY,LL1B
RCAY,VY02
RCAY,VRMO
RCAY,CY-NIC
RCAY,OMY
RCAY,UDSG
RCAY,LLMZ
VRDA,AM-0006
VRDA,IL-0012
VRDA,VNPL
VRDA,IQ-0043
VRDA,ORKK
VRDA,ORSH
VRDA,ORTI
VRDA,VYMK
VRDA,IL-0003
VRDA,MV-0002
VRDA,VNDH
VRDA,RCLG
VRDA,RCAY
VRDA,LA-0007
VRDA,LLMZ
VRDA,TW-0004
VRDA,IQ-0029
VRDA,IQ-0051
VRDA,CN-0235
VRDA,OLRA
VRDA,CY-NIC
VRDA,KMT
VRDA,VDPP
VRDA,UBBQ
VRDA,LA-0005
VRDA,LA-0001
VRDA,CN-0019
WPMN,AZ-0016
WPMN,AM-0002
WPMN,WPOC
WPMN,VNTH
WPMN,VYPY
WPMN,VLOS
WPMN,CY-0004
WPMN,IQ-0043
WPMN,VNVT
WPMN,VLAP
WPMN,VYEL
WPMN,RCMS
WPMN,IQ-0019
WPMN,UBBG
WPMN,ZUBJ
WPMN,IL-0003
WPMN,LB-0005
WPMN,LA-0002
WPMN,AZ-0001
WPMN,RCNN
WPMN,UD21
WPMN,CY-0006
WPMN,LB-0004
WPMN,TW-0063
WPMN,VDPP
WPMN,OLRA
WPMN,IQ-0005
UG11,LB-0005
UG11,VNLD
UG11,VLSK
UG11,ORDD
UG11,VYMK
UG11,VRMV
UG11,VDPP
UG11,IL-0011
UG11,IQ-0007
UG11,AXF
UG11,LLYO
UG11,VLLN
UG11,CY-0005
UG11,UBBA
UG11,CY-0003
UG11,VNSK
UG11,CN-0186
UG11,VY02
UG11,AZ-0018
UG11,VYSA
UG11,VYPT
UG11,OLBA
VNLD,UG11
VNLD,AM-0007
VNLD,VRAH
VNLD,IQ-0032
VNLD,TW-CMJ
VNLD,VNSI
VNLD,LLEK
VNLD,VYPY
VNLD,OMY
VNLD,LA-0007
VNLD,VYLN
VNLD,LLNV
VNLD,LB-0008
VNLD,WPFL
VNLD,FND
VNLD,LB-0004
VNLD,LCEN
VNLD,AM-0008
VNLD,TW-0001
VNLD,LLMG
VNLD,ORSH
VNLD,TW-0062
VNLD,WPAT
VNLD,CY-0007
VNLD,UDYZ
VNLD,TW-0058
VNLD,UBBZ
VNLD,VYBG
VNLD,VYMW
VNLD,IQ-0019
VNLD,VNTH
ZSJD,MV-0002
ZSJD,KH-0003
ZSJD,VRNT
ZSJD,TW-0007
ZSJD,CY-0079
ZSJD,TW-0063
ZSJD,CY-0070
ZSJD,SY-0028
ZSJD,KH-0002
ZSJD,TW-0055
ZSJD,VYMW
ZSJD,VNSI
ZSJD,LLEK
ZSJD,VLXK
ZSJD,LLMZ
ZSJD,AZ-0018
ZSJD,WPAT
ZSJD,VRMG
ZSJD,CY-0025
ZSJD,CY-0001
ZSJD,VYLN
ZSJD,CY-0004
ZSJD,CN-0110
ZSJD,TW-0053
VYAS,ORAA
VYAS,AXF
VYAS,CY-0050
VYAS,LLMR
VYAS,VYHN
VYAS,LL1B
VYAS,VNPK
VYAS,ORKK
VYAS,CN-0019
VYAS,ORBD
VYAS,VLXL
VYAS,VNTH
VYAS,CN-0235
VYAS,VRQM
VYAS,AZ-0012
VYAS,RCXY
VYAS,LB-0005
VYAS,AZ-0013
VYAS,TW-0053
VYAS,MV-0011
VYAS,AM-0006
VYAS,UGEJ
VYAS,VYPU
VYAS,WPFL
VYAS,MV-0001
VYAS,LLBO
VYAS,AM-0001
VYPU,LLTN
VYPU,VYHN
VYPU,LB-0004
VYPU,VNMG
VYPU,ZUBJ
VYPU,UGEJ
VYPU,CY-0002
VYPU,VLXK
VYPU,VYAS
VYPU,VRMV
VYPU,VNPL
VYPU,WPFL
VYPY,ORSH
VYPY,ZUUU
VYPY,IQ-0051
VYPY,CN-0186
VYPY,CY-0006
VYPY,WPMN
VYPY,AM-0009
VYPY,VNLD
VYPY,IL-0004
VYPY,VLSN
VYPY,UBBG
VYPY,VRMD
VYPY,LB-0004
VYPY,VYLS
VYPY,LB-0006
VYPY,VLTK
VYPY,VDSY
VYPY,IQ-0019
VYPY,ZGLD
VYPY,VNPK
VYPY,VYHN
VYPY,IL-0008
VYPY,MV-0008
VY02,CY-0050
VY02,IQ-0005
VY02,VNPL
VY02,LLBS
VY02,VRMV
VY02,CY-NIC
VY02,UBBZ
VY02,OLKA
VY02,CN-0134
VY02,ZGLD
VY02,VLSN
VY02,LL59
VY02,CY-0002
VY02,RCAY
VY02,NP-0015
VY02,UG11
VY02,Z19O
VY02,IQ-0035
VY02,VNBW
VY02,CN-0359
CN-0331,TL-0001
CN-0331,VRAH
CN-0331,TW-0063
CN-0331,CY-0079
CN-0331,CY-0041
CN-0331,LA-0003
CN-0331,IQ-0051
CN-0331,CY-0070
CN-0331,VYPK
CN-0331,LA-0001
CN-0331,VNBW
CN-0331,RCAY
CN-0331,WPDB
CN-0331,VNMG
CN-0331,AM-0007
CN-0331,ZGLD
CN-0331,VLSN
CN-0331,WPAT
CN-0331,VNBR
CN-0331,IQ-0019
CN-0331,VNCG
CN-0331,UGEJ
CN-0331,CN-0110
CN-0331,AZ-0016
CN-0331,AM-0001
VYPT,ZHHH
VYPT,AZ-0016
VYPT,AZ-0010
VYPT,ORMM
VYPT,CY-0006
VYPT,AZ-0001
VYPT,VLPV
VYPT,UDYE
VYPT,IQ-0007
VYPT,VNTH
VYPT,LLET
VYPT,LLBG
VYPT,MV-0011
VYPT,TW-CMJ
VYPT,OLBA
VYPT,AZ-0018
VYPT,VYLN
VYPT,VNVT
VYPT,RCKU
VYPT,VYPK
VYPT,VNBP
VYPT,VDSR
VYPT,LA-0005
VYPT,VDRK
VYPT,CN-0235
VYPT,VYTY
VYPT,AM-0008
VYPT,VREI
VYPT,IQ-0035
VYPT,TW-0055
VYPT,LLEK
VYPT,LLMR
VYPT,VNMA
VYPT,VRMV
VYPT,UG11
VYPT,CY-0050
VYPT,TW-0001
VYPT,VYPE
OMY,ZUUU
OMY,ORBD
OMY,IL-0011
OMY,FJDG
OMY,IQ-0029
OMY,VLVT
OMY,IQ-0051
OMY,TW-0032
OMY,UDSG
OMY,CY-0008
OMY,VNMN
OMY,AZ-0010
OMY,VRAH
OMY,OLKA
OMY,LL59
OMY,VNLD
OMY,VDSR
OMY,CY-0007
OMY,IQ-0010
OMY,RCAY
OMY,ORQW
OMY,TW-0003
OMY,VRQM
OMY,IQ-0043
OMY,ORMM
OMY,KH-0001
OMY,VYLN
OMY,UBBQ
OMY,LB-0004
OMY,CN-0359
OMY,CY-0044
LCEN,ORDD
LCEN,VDSV
LCEN,VNSK
LCEN,UBEE
LCEN,VNPL
LCEN,TL-0002
LCEN,RCAY
LCEN,VRMM
LCEN,AZ-0003
LCEN,OLKA
LCEN,LLMR
LCEN,TW-0004
LCEN,CY-NIC
LCEN,VYEL
LCEN,ZBAD
LCEN,TW-0063
LCEN,VNLD
LCEN,ORQW
LCEN,OLBA
LCEN,LCPH
LCEN,VLTK
LCEN,TW-0062
LCEN,CN-0110
LCEN,LA-0003
LCEN,LLHA
LCEN,LLET
LCEN,IQ-0009
WPOC,VLOS
WPOC,UGEJ
WPOC,MV-0011
WPOC,CN-0019
WPOC,OLRA
WPOC,WPMN
WPOC,VNMG
WPOC,RCAY
WPOC,ZGLD
WPOC,TW-0039
WPOC,TW-0003
WPOC,VYTY
WPOC,ID-KCI
WPOC,TW-0004
WPOC,VRMG
WPOC,LA-0003
WPOC,VLSN
WPOC,IQ-0035
WPOC,AZ-0016
WPOC,VYHN
WPOC,RCXY
WPOC,VRMV
WPOC,CY-0005
WPOC,LB-0004
WPOC,VLXK
WPOC,WPDL
CY-0002,WPAT
CY-0002,VYMH
CY-0002,AZ-0010
CY-0002,ORQW
CY-0002,CY-0079
CY-0002,VDPP
CY-0002,LA-0001
CY-0002,VNMN
CY-0002,UB12
CY-0002,VDBG
CY-0002,VYPU
CY-0002,LCLK
CY-0002,VY02
CY-0002,TW-0032
CY-0002,IQ-0016
CY-0002,IQ-0032
CY-0002,UDYE
CY-0002,LB-0008
CY-0002,CN-0059
CY-0002,CY-0006
CY-0002,VLSK
VREI,OLKA
VREI,MV-0003
VREI,ORQW
VREI,VYLN
VREI,UBBZ
VREI,SY-0028
VREI,VRMM
VREI,CY-0025
VREI,CY-0003
VREI,CN-0284
VREI,VYPT
VREI,IQ-0051
VREI,VYSA
VREI,VNVT
VREI,CY-0008
VREI,VRMU
VREI,IQ-0005
VREI,CN-0283
VREI,VYLS
CY-0001,VYPE
CY-0001,RCAY
CY-0001,AZ-0012
CY-0001,VLSK
CY-0001,VDRK
CY-0001,VRMD
CY-0001,CN-0359
CY-0001,WPFL
CY-0001,AZ-0013
CY-0001,VDKT
CY-0001,VRMU
CY-0001,ZGLD
CY-0001,AM-0009
CY-0001,UD21
CY-0001,CN-0019
CY-0001,CY-0007
CY-0001,ZHHH
CY-0001,RCXY
CY-0001,ZSJD
CY-0001,VYEL
CY-0001,TW-0039
CY-0001,LCPH
CY-0001,ORAA
CY-0001,VNMA
CY-0004,UDLS
CY-0004,Z19O
CY-0004,VLSV
CY-0004,IQ-0007
CY-0004,WPMN
CY-0004,VDKC
CY-0004,VYBG
CY-0004,KH-0001
CY-0004,RCNN
CY-0004,VLPV
CY-0004,KH-0003
CY-0004,ZSJD
CY-0004,AZ-0012
CY-0004,VDKK
CY-0004,LA-0002
CY-0004,LCRA
CY-0003,WPDL
CY-0003,LCPH
CY-0003,AZ-0016
CY-0003,VNCG
CY-0003,RCNN
CY-0003,CN-0040
CY-0003,LLHA
CY-0003,VLXL
CY-0003,MV-0004
CY-0003,LB-0008
CY-0003,SY-0028
CY-0003,UG11
CY-0003,VREI
CY-0003,ORAA
CY-0003,MV-0002
CY-0003,AZ-0009
CY-0003,AM-0008
CY-0003,LB-0006
CY-0003,CY-0079
CY-0006,AM-0003
CY-0006,VNBP
CY-0006,TW-0053
CY-0006,RCLG
CY-0006,VYPT
CY-0006,VYPY
CY-0006,CY-0070
CY-0006,LCRA
CY-0006,TW-0007
CY-0006,VYSA
CY-0006,MV-0001
CY-0006,VDSY
CY-0006,VRMV
CY-0006,CN-0110
CY-0006,KH-0003
CY-0006,IQ-0009
CY-0006,UD21
CY-0006,IQ-0051
CY-0006,LB-0006
CY-0006,CN-0059
CY-0006,WPMN
CY-0006,VLPV
CY-0006,VLTK
CY-0006,CY-NIC
CY-0006,CY-0002
CY-0006,VYTN
CY-0006,AZ-0012
CY-0005,LA-0003
CY-0005,WPDB
CY-0005,AM-0008
CY-0005,MV-0002
CY-0005,WPDL
CY-0005,LA-0007
CY-0005,MV-0010
CY-0005,FJDG
CY-0005,ORSU
CY-0005,VYTY
CY-0005,UG11
CY-0005,VYEL
CY-0005,VDBG
CY-0005,CN-0059
CY-0005,VNSI
CY-0005,AXF
CY-0005,MV-0004
CY-0005,AM-0004
CY-0005,ZBAD
CY-0005,ZHHH
CY-0005,VNVT
CY-0005,VYMH
CY-0005,VNMN
CY-0005,VDKC
CY-0005,WPOC
CY-0005,TL-0002
CY-0005,VNCG
CY-0005,IL-0003
CY-0005,AZ-0012
CY-0005,UBBG
CY-0005,TW-0039
CY-0005,CY-NIC
CY-0005,IQ-0051
CY-0005,VRAH
CY-0005,UBEE
CY-0008,VRAH
CY-0008,ORSH
CY-0008,LLMZ
CY-0008,TW-0055
CY-0008,VYTY
CY-0008,OMY
CY-0008,VNTH
CY-0008,AM-0008
CY-0008,VLAP
CY-0008,LB-0008
CY-0008,RCNN
CY-0008,IQ-0005
CY-0008,CN-0235
CY-0008,LL59
CY-0008,VDRK
CY-0008,VREI
CY-0008,VYLN
CY-0008,TW-0007
CY-0008,IL-0004
CY-0007,UBBG
CY-0007,ORDD
CY-0007,ZHHH
