from,to
ES-0045,LOIJ
ES-0045,EIME
ES-0045,LOAN
ES-0045,LHBA
ES-0045,EE-4931
ES-0045,ES-0099
ES-0045,RU-0212
ES-0045,EERU
ES-0045,RU-0501
ES-0045,LOGW
ES-0045,HU-0047
ES-0045,LT-9517
ES-0045,LPBJ
ES-0045,EEVI
ES-0045,ES-0294
ES-0045,LERS
ES-0045,HU-0044
ES-0045,IE-0018
ES-0045,PT-0130
LOKM,NO-0096
LOKM,LPSC
LOKM,EEVU
LOKM,LSZY
LOKM,EEKI
LOKM,EETA
LOKM,ULMA
LOKM,EE-0008
LOKM,PT-0139
LOKM,RU-2824
LOKM,EEVI
LOKM,HU-0046
LOKM,RU-0212
LOKM,PT-0130
LOKM,LOIJ
LOKM,ENBM
LOKM,LHZA
LOKM,IE-0004
LOKM,HU-0015
LOKM,EE-7685
LOKM,LT-0031
LOKM,IE-0070
LOKM,NO-0008
LOKM,RU-0690
EELU,EYVI
EELU,LT-0009
EELU,IM-0003
EELU,NO-0001
EELU,LOIJ
EELU,HU-0044
EELU,IE-0054
EELU,ES-0161
EELU,ENBM
EELU,LE83
EELU,HU-0028
EELU,PT-0139
EELU,LT-0027
EELU,LSPM
EELU,PT-0113
EELU,LHHO
EELU,LSZG
EELU,IE-0068
EELU,LSZH
EELU,HU-0023
EELU,LXGB
EELU,ENFG
EELU,ULMA
LOKW,RU-0242
LOKW,LE83
LOKW,EYMO
LOKW,RU-0076
LOKW,LOGW
LOKW,LSTA
LOKW,LEMP
LOKW,LOAV
LOKW,ES-0051
LOKW,PT-0139
LOKW,LELH
LOKW,LOWW
LOKW,LOLK
LOKW,ES-0251
LOKW,EIDL
LOKW,PT-0116
LOKW,EYSB
LOKW,DE-0354
LOKW,AD-0002
LOKW,IE-0065
LOKW,LSZN
LOKW,LOIJ
EIDL,LOIA
EIDL,ENSA
EIDL,RU-0381
EIDL,HU-0047
EIDL,LSZY
EIDL,AD-0002
EIDL,LT-0014
EIDL,EEHA
EIDL,EYSB
EIDL,IM-0004
EIDL,UHAW
EIDL,ES-0184
EIDL,LE83
EIDL,DE-0354
EIDL,LHDV
EIDL,LOKW
EIDL,PT-0076
EIDL,PT-0137
EYTL,NO-0046
EYTL,EIWT
EYTL,LPPS
EYTL,LT-0025
EYTL,UHQO
EYTL,LECT
EYTL,EYPN
EYTL,EETA
EYTL,NO-0001
EYTL,PT-0139
EYTL,ENTS
EYTL,ES-0269
EYTL,ES-0149
EYTL,ULMA
EYTL,LSZH
EYTL,PT-0112
EYTL,PT-0095
NO-0084,IM-0001
NO-0084,EE-0003
NO-0084,IE-0056
NO-0084,ES-0051
NO-0084,PT-0032
NO-0084,ES-0294
NO-0084,ENHV
NO-0084,EE-7685
NO-0084,EYPN
NO-0084,LOWL
NO-0084,PT-0116
NO-0084,EYKR
NO-0084,LT-0018
NO-0084,PT-0070
NO-0084,LSTA
NO-0084,EGNS
NO-0084,ENFG
NO-0084,HU-0044
NO-0084,LSZN
NO-0084,LOGW
NO-0084,UNAA
NO-0084,LOGP
NO-0084,EE-0004
NO-0084,LT-0014
NO-0084,EEKI
NO-0084,UHAW
X-VIE,LT-0014
X-VIE,LSME
X-VIE,ENTC
X-VIE,EYKR
X-VIE,ES-0161
X-VIE,PT-0111
X-VIE,NO-0017
X-VIE,UNAA
X-VIE,LSPF
X-VIE,LSZO
X-VIE,PT-0076
X-VIE,EE-0010
X-VIE,PT-0095
X-VIE,EICD
X-VIE,IE-0068
X-VIE,IE-0015
X-VIE,RU-0690
X-VIE,IM-0006
X-VIE,DE-0354
X-VIE,RU-0456
RU-0242,LSGG
RU-0242,LOKW
RU-0242,IE-0054
RU-0242,PT-0136
RU-0242,ENSA
RU-0242,ES-0099
RU-0242,RU-0381
RU-0242,ENHV
RU-0242,EE-0008
RU-0242,ENBM
RU-0242,PT-0112
RU-0242,LSPM
RU-0242,LT-0031
RU-0242,EE-0009
RU-0242,LESB
RU-0242,LOWG
RU-0242,LOLW
RU-0242,LT-0009
RU-0242,LOWS
RU-0242,LT-0018
RU-0242,LHVE
RU-0242,LPSC
RU-0242,NO-0046
RU-0242,EYSB
RU-0242,ES-0084
RU-0242,UHAW
RU-0367,LOWZ
RU-0367,RU-0475
RU-0367,LOWG
RU-0367,HU-0044
RU-0367,LSME
RU-0367,ES-0149
RU-0367,LSGG
RU-0367,LEMP
RU-0367,LT-0025
RU-0367,LT-0015
RU-0367,LELH
RU-0367,LOLK
RU-0367,RU-0456
RU-0367,IE-0053
RU-0367,LSZD
RU-0367,LHSN
RU-0367,EICD
RU-0367,EEVU
RU-0367,IE-0015
RU-0367,RU-0183
