from,to
HESW,DTTA
HESW,HE11
HESW,GANK
HESW,SK-0075
HESW,JO-0004
HESW,DNYO
HESW,VCCJ
HESW,FKKN
HESW,VGCB
HESW,3L7
HESW,GGCF
HESW,OMAR
HESW,VNDH
HESW,IT-0478
HESW,LB-0005
HESW,FNHU
HESW,FDBM
HESW,FWCL
HESW,GB-0301
HESW,PF-0002
HESW,LRTM
HESW,SUCL
HESW,OEGT
HESW,RO-0051
HESW,BI-0001
HESW,HBBO
HESW,OMAW
HESW,BYL
HESW,RS-0006
HESW,HSGN
SA-0002,GGBF
SA-0002,NVSL
SA-0002,NTGE
SA-0002,LSZN
SA-0002,SPBC
SA-0002,DTKA
SA-0002,BD-0003
SA-0002,HBBE
SA-0002,SK-0075
SA-0002,PY-0030
SA-0002,SNFL
SA-0002,DGLE
SA-0002,BG-0067
SA-0002,FMCI
SA-0002,VNVT
SA-0002,OMAR
SA-0002,DRRN
SA-0002,UA-0182
SA-0002,UT1F
SA-0002,UGSB
SA-0002,NE-0002
SA-0002,GUMA
SA-0002,RO-0056
SA-0002,VGSY
SA-0002,ENBM
SA-0002,ELUS
SA-0002,SDDI
SA-0002,LFPU
SA-0002,GB-0908
SA-0002,LT-0012
SA-0002,LFDE
SA-0002,DTMB
SA-0002,NVVI
SA-0002,EDMI
SURV,DRRN
SURV,OJ38
SURV,BYV
SURV,BI-0001
SURV,GB-0161
SURV,FKKD
SURV,ES-0267
SURV,OMFJ
SURV,BG-0110
SURV,VNBW
SURV,73IA
SURV,GUSI
SURV,HBBO
SURV,LFFB
SURV,ENSA
SURV,VVVT
SURV,JO-0006
SURV,LV-0054
SURV,FMNA
SURV,ENKJ
SURV,SGST
SURV,VNTR
SURV,GG64
SURV,OE47
SURV,ZM-0019
SURV,DNBC
SURV,HBBK
SURV,GLCP
SURV,RO-0056
SURV,SA-0003
SURV,BJT
SURV,LSZH
SURV,WBGJ
SPHO,OMAL
SPHO,DNMM
SPHO,GN-0001
SPHO,FLSH
SPHO,VGIS
SPHO,LSPK
SPHO,BR-1478
SPHO,LRPH
SPHO,PY-0033
SPHO,FVCV
SPHO,SD8U
SPHO,RS-0001
SPHO,SDDI
SPHO,FNCC
SPHO,OMAW
SPHO,HSWD
SPHO,DTMB
SPHO,LYPA
SPHO,GGOV
SPHO,ENHD
SPHO,RS-0033
SPHO,HCMG
SPHO,VVRG
SPHO,BG-0103
SPHO,OLBA
SPHO,K1X1
SPHO,LZRU
SPHO,FDNH
SPHO,SD-0001
SPHO,DRZL
SPHO,RVC
SPHO,HCMB
SPHO,FKKD
SPHO,HSKI
SPHO,UDYE
SPHO,GASK
SA-0003,HUKD
SA-0003,PTSA
SA-0003,KSSF
SA-0003,SD-0004
SA-0003,DGAA
SA-0003,FMNA
SA-0003,GLGE
