AirfieldName,Time,WeatherCode
AD,1680307200,14
AD,1680328800,27
AD,1680350400,26
AD,1680372000,17
AD,1680393600,21
AD,1680415200,8
AD,1680436800,29
AD,1680458400,16
AD,1680480000,26
AD,1680501600,3
AD,1680523200,19
AD,1680544800,8
AD,1680566400,16
AD,1680588000,6
AD,1680609600,11
AD,1680631200,23
AD,1680652800,17
AD,1680674400,26
AD,1680696000,17
AD,1680717600,2
AD,1680739200,13
AD,1680760800,31
AD,1680782400,31
AD,1680804000,27
AD,1680825600,19
AD,1680847200,5
AD,1680868800,20
AD,1680890400,31
AD,1680912000,30
AD,1680933600,1
AD,1680955200,19
AD,1680976800,7
AD,1680998400,7
AD,1681020000,6
AD,1681041600,30
AD,1681063200,8
AD,1681084800,29
AD,1681106400,3
AD,1681128000,30
AD,1681149600,4
AD,1681171200,5
AD,1681192800,11
AD,1681214400,7
AD,1681236000,3
AD,1681257600,27
AD,1681279200,0
AD,1681300800,13
AD,1681322400,4
AD,1681344000,4
AD,1681365600,2
AD,1681387200,4
AD,1681408800,13
AD,1681430400,25
AD,1681452000,12
AD,1681473600,26
AD,1681495200,31
AD,1681516800,13
AD,1681538400,20
AD,1681560000,21
AD,1681581600,14
AD,1681603200,29
AD,1681624800,24
AD,1681646400,13
AD,1681668000,15
AD,1681689600,11
AD,1681711200,21
AD,1681732800,29
AD,1681754400,17
AD,1681776000,4
AD,1681797600,2
AD,1681819200,1
AD,1681840800,6
AD,1681862400,5
AD,1681884000,30
AD,1681905600,20
AD,1681927200,0
AD,1681948800,0
AD,1681970400,26
AD,1681992000,23
AD,1682013600,28
AD,1682035200,14
AD,1682056800,23
AD,1682078400,8
AD,1682100000,22
AD,1682121600,14
AD,1682143200,14
AD,1682164800,20
AD,1682186400,17
AD,1682208000,25
AD,1682229600,9
AD,1682251200,12
AD,1682272800,3
AD,1682294400,6
AD,1682316000,24
AD,1682337600,1
AD,1682359200,2
AD,1682380800,17
AD,1682402400,28
AD,1682424000,15
AD,1682445600,18
AD,1682467200,29
AD,1682488800,6
AD,1682510400,18
AD,1682532000,0
AD,1682553600,14
AD,1682575200,0
AD,1682596800,11
AD,1682618400,14
AD,1682640000,2
AD,1682661600,24
AD,1682683200,17
AD,1682704800,29
AD,1682726400,7
AD,1682748000,27
AD,1682769600,7
AD,1682791200,25
AD,1682812800,18
AD,1682834400,27
AD,1682856000,5
AD,1682877600,5
AD,1682899200,13
AE,1680307200,18
AE,1680328800,24
AE,1680350400,6
AE,1680372000,27
AE,1680393600,30
AE,1680415200,10
AE,1680436800,8
AE,1680458400,10
AE,1680480000,12
AE,1680501600,13
AE,1680523200,27
AE,1680544800,10
AE,1680566400,4
AE,1680588000,27
AE,1680609600,7
AE,1680631200,30
AE,1680652800,13
AE,1680674400,1
AE,1680696000,0
AE,1680717600,28
AE,1680739200,13
AE,1680760800,30
AE,1680782400,27
AE,1680804000,16
AE,1680825600,29
AE,1680847200,30
AE,1680868800,17
AE,1680890400,11
AE,1680912000,31
AE,1680933600,7
AE,1680955200,20
AE,1680976800,30
AE,1680998400,25
AE,1681020000,22
AE,1681041600,16
AE,1681063200,7
AE,1681084800,3
AE,1681106400,18
AE,1681128000,25
AE,1681149600,16
AE,1681171200,25
AE,1681192800,3
AE,1681214400,26
AE,1681236000,19
AE,1681257600,25
AE,1681279200,26
AE,1681300800,13
AE,1681322400,20
