AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
UGEJ,AM,39.823666,45.67327,121
UDYZ,AM,40.147301,44.395901,147
UDLS,AM,41.0485,44.3372,128
AM-0007,AM,38.911573,46.198926,139
AM-0002,AM,39.450989,46.34724,122
AM-0009,AM,40.07953,44.60577,135
UDYE,AM,40.122101,44.465,140
AM-0004,AM,40.925406,45.461404,105
AM-0001,AM,39.202272,46.455204,149
UDSG,AM,40.750401,43.859299,100
AM-0005,AM,40.371201,45.097332,139
UD21,AM,40.294102,44.564602,131
AM-0006,AM,40.199855,45.777111,132
AM-0003,AM,40.080977,43.88227,121
AM-0008,AM,39.54694,46.05694,142
AZ-0012,AZ,39.976002,47.000145,116
UB12,AZ,40.591599,49.5574,101
UBBG,AZ,40.737701,46.3176,148
UBBZ,AZ,39.11443,46.74392,107
AZ-0006,AZ,40.664268,47.514801,139
AZ-0010,AZ,40.022291,47.44935,130
UG11,AZ,40.8876,45.957001,104
UBEE,AZ,40.631901,47.141899,101
UBBQ,AZ,40.808617,47.725389,142
AZ-0001,AZ,40.495542,49.976807,105
UB14,AZ,40.273602,48.163601,115
AZ-0009,AZ,40.120419,48.145716,110
AZ-0013,AZ,40.807313,49.431481,128
AZ-0004,AZ,40.51592,46.829481,132
AZ-0018,AZ,39.83179,48.966751,126
UB18,AZ,40.406601,50.200199,132
AZ-0003,AZ,41.136553,47.1595,145
AZ-0015,AZ,40.129771,49.454956,131
AZ-0016,AZ,39.853999,49.340018,102
UBBA,AZ,41.123616,45.420793,100
ZSJD,CN,29.3386,117.176003,138
YYA,CN,29.311699,113.281574,112
CN-0283,CN,43.20563,81.79847,121
ZHHH,CN,30.774798,114.213723,109
ZUBJ,CN,27.267066,105.472097,128
CN-0235,CN,31.97139,118.8404,120
ZUUU,CN,30.558257,103.945966,116
CN-0019,CN,39.656399,118.136002,109
CN-0059,CN,23.1647,113.369003,134
CN-0331,CN,26.998259,107.759571,126
CN-0134,CN,34.275907,108.2658,100
CN-0186,CN,39.45692,116.00091,122
CN-0110,CN,9.92102,115.5059,115
AEQ,CN,43.87042,120.15958,150
ZGLD,CN,22.711169,111.60134,137
CN-0359,CN,43.1075,81.160556,135
CN-0040,CN,23.7381,100.025002,142
CN-0284,CN,40.401005,116.881289,147
AXF,CN,38.74831,105.58858,132
ZBAD,CN,39.509945,116.41092,100
LCEN,CY,35.152337,33.506584,108
CY-0050,CY,35.144454,33.919932,100
CY-0025,CY,35.195038,32.932524,128
LCLK,CY,34.875099,33.624901,144
CY-0071,CY,34.68261,32.838556,136
CY-0007,CY,35.01622,33.310869,124
CY-0044,CY,35.071073,33.820505,105
CY-0008,CY,35.083178,33.900432,114
CY-0002,CY,35.23591,33.720088,125
CY-0079,CY,34.793553,33.352371,112
CY-0001,CY,35.106384,33.321304,140
CY-0070,CY,34.666881,32.807612,131
LCPH,CY,34.717999,32.485699,137
CY-0003,CY,35.276018,33.267503,150
CY-NIC,CY,35.150799,33.278702,109
CY-0006,CY,34.840418,33.424476,150
LCRA,CY,34.590401,32.9879,112
CY-0004,CY,35.014275,33.715851,145
CY-0005,CY,34.909672,33.403732,145
CY-0041,CY,34.994262,33.749133,150
LLNV,IL,31.2083,35.012299,129
LLYO,IL,29.901111,35.0675,146
LLBO,IL,32.649854,34.933126,125
IL-0008,IL,32.2636,34.9511,119
LLBS,IL,31.287001,34.723,133
LLHA,IL,32.809399,35.043098,140
LLEK,IL,31.8395,34.8218,110
IL-0003,IL,31.2277,34.4604,116
LL59,IL,31.8979,34.6908,139
IL-0006,IL,31.8851,34.8862,131
LLMR,IL,30.6506,34.8069,139
IL-0011,IL,31.69692,34.76821,121
LLMZ,IL,31.328199,35.388599,133
LL1B,IL,31.22917,35.189037,129
LLMG,IL,32.597301,35.228802,122
LLBG,IL,32.011398,34.8867,110
LLTN,IL,32.308611,34.978333,119
LLET,IL,29.559945,34.959612,130
IL-0012,IL,31.06104,35.01049,146
IL-0004,IL,31.1252,34.3777,142
FJDG,IO,-7.31327,72.411102,140
IQ-0007,IQ,32.504356,45.33306,139
IQ-0029,IQ,33.591599,44.594937,110
IQ-0035,IQ,31.834982,46.30484,123
ORSU,IQ,35.561749,45.316738,141
IQ-0010,IQ,32.831566,40.339565,105
IQ-0043,IQ,33.16069,44.774094,136
IQ-0005,IQ,33.44088,42.913307,140
ORDD,IQ,36.9249,42.7331,129
ORQW,IQ,35.7672,43.125099,108
ORAA,IQ,33.785599,42.4412,142
IQ-0051,IQ,35.139721,44.133888,119
ORKK,IQ,35.469501,44.3489,131
ORMM,IQ,30.549101,47.662102,130
IQ-0016,IQ,33.816262,41.436712,103
IQ-0009,IQ,33.059032,40.396641,122
ORBD,IQ,33.940201,44.361599,121
ORTI,IQ,33.523899,44.256699,101
ORSH,IQ,34.673199,43.542999,104
IQ-0032,IQ,32.410671,41.947495,137
IQ-0019,IQ,32.848534,39.310894,117
KH-0002,KH,11.3623,104.9154,142
KMT,KH,10.6343,104.1617,114
VDKC,KH,12.028657,105.441165,130
VDKK,KH,11.613397,102.997084,122
VDSA,KH,13.369167,104.223056,122
VDSV,KH,10.569498,103.631001,111
VDMK,KH,12.463648,107.187252,107
VDSY,KH,12.5385,104.1486,111
VDSR,KH,13.41155,103.813044,116
KH-0001,KH,10.914244,103.226652,143
VDKH,KH,12.255032,104.564657,119
VDRK,KH,13.73,106.987,124
OMY,KH,13.7597,104.97173,128
VDKT,KH,12.489017,106.05469,144
VDBG,KH,13.0956,103.223999,104
KH-0003,KH,13.3726,104.2226,131
VDPP,KH,11.5466,104.844002,125
LA-0005,LA,18.068039,102.910591,122
