AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
AD-0002,AD,42.544983,1.452258,140
AZ-0018,AZ,39.83179,48.966751,116
AZ-0009,AZ,40.120419,48.145716,146
AZ-0013,AZ,40.807313,49.431481,146
AZ-0004,AZ,40.51592,46.829481,127
AZ-0016,AZ,39.853999,49.340018,135
UB18,AZ,40.406601,50.200199,130
AZ-0003,AZ,41.136553,47.1595,138
AZ-0015,AZ,40.129771,49.454956,118
UB14,AZ,40.273602,48.163601,143
UBBA,AZ,41.123616,45.420793,136
LQCO,BA,44.980871,15.869373,109
LQVI,BA,44.024792,18.0968,106
LQBK,BA,44.941399,17.297501,134
LQMO,BA,43.282902,17.8459,143
BA-0001,BA,44.436094,18.686457,150
LQGL,BA,44.083894,16.813588,106
BA-0007,BA,44.911565,18.738884,130
BA-0003,BA,44.846235,18.761888,109
LQLV,BA,43.791141,16.893268,101
BA-0006,BA,43.885661,18.068562,114
BD-0024,BD,21.77327,92.06874,129
BD-0003,BD,21.419863,91.981569,121
VGTJ,BD,23.778799,90.382698,134
VGIS,BD,24.1525,89.0494,128
VGZR,BD,23.843347,90.397783,132
VGSG,BD,26.016399,88.403603,109
VGCB,BD,21.4522,91.963898,134
BD-0039,BD,24.21232,90.9065,125
VGSY,BD,24.963832,91.864843,125
BD-0022,BD,22.37647,90.32213,111
DBBC,BJ,7.125417,2.046806,135
DBBO,BJ,11.046563,0.992613,101
DBBD,BJ,9.692083,1.637778,139
DBBB,BJ,6.35723,2.38435,144
BJ-0001,BJ,9.391186,2.507311,131
DBBN,BJ,10.376965,1.360507,131
DBBS,BJ,8.01817,2.46458,105
DBBR,BJ,10.27409,2.697082,117
DBBP,BJ,9.35769,2.60968,119
DBBK,BJ,11.14479,2.940381,144
LSZO,CH,47.188993,8.204556,141
LSTA,CH,46.3036,7.82333,141
LSZD,CH,46.157799,8.78194,140
LSZN,CH,47.238602,8.51556,137
LSGG,CH,46.238098,6.10895,144
LSPF,CH,47.690203,8.526178,125
LSZH,CH,47.458056,8.548056,104
LSXV,CH,46.2342,9.09417,124
LSPK,CH,47.279999,8.88194,135
LSGE,CH,46.755001,7.07611,147
GVAN,CV,17.202801,-25.090599,107
GVNP,CV,14.9245,-23.4935,119
GVBA,CV,16.136499,-22.888901,112
GVAC,CV,16.7414,-22.9494,123
BVR,CV,14.864306,-24.746,143
GVMA,CV,15.1559,-23.213699,125
GVSV,CV,16.8332,-25.0553,135
GVMT,CV,15.045,-24.339199,150
GVSF,CV,14.885,-24.48,102
GVSN,CV,16.588852,-24.284132,127
YPXM,CX,-10.449382,105.690931,115
HEEM,EG,30.074699,31.191401,125
HE16,EG,30.836599,30.936001,101
HEBA,EG,30.93249,29.696437,133
HEOC,EG,29.812302,30.828318,115
HE11,EG,29.867554,27.946558,100
EG-0017,EG,31.34512,30.97628,124
HESC,EG,28.684601,34.062681,108
HESW,EG,29.346234,25.505624,113
HEAZ,EG,30.091702,31.359739,141
HE31,EG,29.80532,28.55263,135
HHBA,ER,15.122394,37.614335,112
ER-0004,ER,14.32168,36.63028,137
ER-0002,ER,15.72753,40.07532,108
ER-0003,ER,15.75794,39.97046,132
ER-0001,ER,15.68151,40.104431,117
HHTS,ER,15.104322,36.681711,114
HHAS,ER,15.2919,38.910702,149
HHMS,ER,15.67,39.370098,101
HHAG,ER,15.53783,37.855481,113
HHSB,ER,13.0718,42.645,104
FJ-0004,FJ,-18.215569,177.729767,143
NFKD,FJ,-19.0581,178.156998,143
NFVB,FJ,-17.268999,-178.975998,139
NFNA,FJ,-18.043301,178.559006,126
NFNR,FJ,-12.4825,177.070999,142
NFBG,FJ,-16.44938,179.740105,142
NFKB,FJ,-17.2542,-179.488998,136
NFFO,FJ,-17.778448,177.196996,109
NFNU,FJ,-16.8598,178.6232,106
NFMO,FJ,-18.5667,179.951004,121
GGGB,GW,12.292002,-14.236044,106
GG64,GW,11.536858,-14.761904,106
GW-0001,GW,12.32008,-13.958281,126
GGBF,GW,12.176437,-14.657811,107
GGCF,GW,11.2879,-15.1805,128
GGBU,GW,11.297356,-15.838079,140
GGOV,GW,11.8948,-15.6537,124
WRLH,ID,-1.885541,116.256809,100
WATC,ID,-8.639514,122.238135,120
AXO,ID,-8.244832,124.219108,129
WIMG,ID,-0.874989,100.351997,113
ID-0246,ID,-4.686881,140.789845,139
ID-KEA,ID,-7.66667,140.5,116
WAOM,ID,-0.942549,114.89399,142
ID-0001,ID,-1.07335,134.830994,108
ID-0144,ID,-4.8083,140.1715,110
WAHI,ID,-7.905338,110.057264,138
VONS,IN,16.541574,79.316504,128
IN-0073,IN,20.910055,85.036669,111
VISR,IN,33.987099,74.7742,102
VI20,IN,28.077101,76.205002,117
IN-0107,IN,16.002552,73.529846,129
IN-0054,IN,23.365777,86.436739,145
VIAR,IN,31.7096,74.797302,143
IN-0065,IN,20.813349,77.717907,149
IN-0067,IN,25.42788,86.08819,135
VIAL,IN,25.4401,81.733902,144
OIBI,IR,27.482359,52.612897,146
OIFS,IR,32.297199,50.842201,108
IR-0038,IR,34.56826,45.82255,105
OIKJ,IR,28.723519,57.675037,127
OIBK,IR,26.526199,53.980202,119
IR-0010,IR,32.582692,52.002218,136
OISJ,IR,28.5867,53.579102,132
OITL,IR,38.325699,48.4244,142
OIKQ,IR,26.754639,55.902353,148
IR-0043,IR,36.13005,49.19908,107
IT-0040,IT,45.778056,8.268611,117
IT-0312,IT,42.85723,12.473179,135
LIDA,IT,45.886155,11.515861,134
IT-0565,IT,40.794151,17.491959,140
IT-0138,IT,45.53297,8.90103,110
IT-0237,IT,40.415529,15.53648,109
IT-0478,IT,45.293845,9.919281,110
LIAR,IT,41.994532,12.0135,150
IT-0531,IT,41.79806,15.419932,113
LIPV,IT,45.428299,12.3881,144
OJMS,JO,31.8256,36.782001,138
JO-0009,JO,31.785676,36.221323,144
JO-0002,JO,30.3435,36.147701,131
OJAQ,JO,29.611601,35.018101,133
JO-0015,JO,31.568827,36.778292,135
OJ38,JO,32.025299,36.144798,125
JO-0007,JO,31.251992,36.223211,136
JO-0004,JO,32.026706,36.408691,101
OJAM,JO,31.9727,35.9916,130
JO-0006,JO,31.596585,36.923236,126
RORY,JP,27.044001,128.401993,122
JP-3302,JP,35.0234,134.37016,120
RJTH,JP,33.115002,139.785995,106
JP-0690,JP,34.50577,131.59634,102
JP-1680,JP,37.09688,138.23547,103
JP-0113,JP,34.476022,133.488961,107
JP-1012,JP,34.88287,135.75192,121
JP-1995,JP,26.7044,127.883,135
JP-2079,JP,40.629479,141.37704,115
JP-2089,JP,36.5229,136.67166,142
KE-6054,KE,-3.418889,37.634167,122
KE-0021,KE,-0.743035,36.172222,121
KE-0184,KE,-1.606288,35.436835,113
HKMS,KE,-1.406111,35.008057,140
HKNI,KE,-0.364414,36.978485,113
KE-6123,KE,-2.579389,36.912167,138
KE-6045,KE,-0.316978,35.922549,101
HKMB,KE,2.344254,37.999996,101
KE-0050,KE,-1.05,37.433334,120
KE-LBK,KE,0.348333,40.881699,131
KG-0043,KG,42.889604,73.929985,140
KG-0001,KG,40.944401,72.977798,147
KG-0010,KG,42.9142,74.508301,100
KG-0012,KG,42.743698,74.542397,130
KG-0029,KG,42.950401,74.842598,136
UAFW,KG,42.853199,74.846497,130
KG-0015,KG,40.898998,72.927399,149
KG-0030,KG,41.383499,71.498497,143
UAFO,KG,40.609001,72.793297,107
UABA,KG,42.753693,75.33263,147
VDSY,KH,12.5385,104.1486,131
VDKH,KH,12.255032,104.564657,123
VDKK,KH,11.613397,102.997084,107
KH-0001,KH,10.914244,103.226652,100
VDRK,KH,13.73,106.987,111
VDBG,KH,13.0956,103.223999,141
VDKT,KH,12.489017,106.05469,134
KH-0003,KH,13.3726,104.2226,143
VDPP,KH,11.5466,104.844002,112
OMY,KH,13.7597,104.97173,123
OKBK,KW,29.226601,47.968899,121
KW-0016,KW,28.60425,48.3093,106
OKAJ,KW,28.934799,47.791901,122
OKDI,KW,29.697599,47.436001,145
OKAS,KW,29.344632,47.511215,146
Z19M,KW,29.0453,47.790798,140
VLXK,LA,19.450001,103.157997,123
VLPV,LA,19.454901,103.218002,150
VLSV,LA,15.709439,106.410699,108
LA-0003,LA,22.121944,101.799167,147
LA-0006,LA,20.324,100.165,124
VLLN,LA,20.966999,101.400002,103
VLSK,LA,16.556601,104.760002,146
VLOS,LA,20.682699,101.994003,120
VLHS,LA,20.257299,100.436996,105
VLVT,LA,17.9883,102.563004,128
LR-0001,LR,5.13797,-9.08692,106
GLBU,LR,5.905503,-10.058262,109
GLGE,LR,5.032124,-9.064236,103
GLRB,LR,6.23379,-10.3623,130
BYL,LR,7.369167,-9.993722,103
GLCP,LR,4.37902,-7.69695,140
RVC,LR,5.472469,-9.58546,125
TPT,LR,6.4948,-8.873,143
GLVA,LR,8.32347,-9.769249,110
GLMR,LR,6.28906,-10.7587,114
LU-0002,LU,49.7892,6.24111,107
ELNT,LU,49.981098,5.91778,134
ELUS,LU,49.768155,5.965962,118
ELLX,LU,49.623333,6.204444,122
LV-0032,LV,56.316525,24.332678,119
LV-0013,LV,56.696944,21.628889,115
LV-0040,LV,56.429748,21.579674,117
LV-0054,LV,57.290981,26.618413,137
