AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
TR-0092,TR,36.93968,35.563492,103
LTAH,TR,38.726398,30.601101,130
LTCO,TR,39.655642,43.025742,135
LTAP,TR,40.829399,35.521999,150
LTBD,TR,37.815389,27.887566,144
TR-0016,TR,40.115021,27.93894,103
TR-0017,TR,38.859261,40.595963,142
TR-0024,TR,40.398499,29.0895,103
LTCA,TR,38.597974,39.28348,132
LTCD,TR,39.710201,39.527,110
TR-0021,TR,39.843899,30.968,128
LTAJ,TR,36.947201,37.478699,146
TR-0032,TR,40.2229,39.793098,124
TR-0099,TR,36.349089,36.598577,139
TR-0044,TR,36.890908,35.070522,132
LTFJ,TR,40.898602,29.3092,121
LTFB,TR,37.950699,27.329,134
LTCF,TR,40.562199,43.115002,134
LTAN,TR,37.979,32.561901,125
TR-0015,TR,38.468946,38.365159,131
TR-0001,TR,38.976571,27.853267,100
LTCN,TR,37.538826,36.953522,141
LTCR,TR,37.223301,40.631699,102
LTFE,TR,37.250599,27.664301,129
LTCK,TR,38.747799,41.661201,132
LTAZ,TR,38.7719,34.5345,143
LTCB,TR,40.966872,38.085995,118
LFTO,TR,41.179625,40.850796,107
TR-0080,TR,41.5129,36.1203,142
LTAR,TR,39.813801,36.9035,134
LTBU,TR,41.138199,27.9191,128
LTAW,TR,40.30743,36.367409,110
LTCH,TR,37.094299,38.847099,121
LTBO,TR,38.681499,29.471701,104
LTAS,TR,41.506401,32.0886,141
TR-0065,TR,39.86236,33.483787,114
LTCJ,TR,37.929001,41.1166,129
LTCT,TR,39.976627,43.876648,103
LTBP,TR,40.684399,29.3757,114
TR-0120,TR,36.637415,37.474492,128
