AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
LTAF,TR,36.982201,35.280398999999996,135
LTCP,TR,37.7314,38.468899,125
LTAH,TR,38.726397999999996,30.601101,100
LTAP,TR,40.829399,35.521999,104
LTAB,TR,39.9350013733,32.7407989502,112
LTBG,TR,40.318001,27.977698999999998,116
TR-0035,TR,38.54180145263672,42.33240127563477,131
TR-0018,TR,40.74797058105469,31.650066375732425,129
LTBR,TR,40.2551994324,29.5625991821,135
TR-0009,TR,37.828125,29.63786315917969,137
TR-0011,TR,38.01278305053711,39.95493698120117,117
LTCA,TR,38.597974,39.28348,132
LTCE,TR,39.956501,41.1702,136
TR-0032,TR,40.222900390625,39.79309844970703,126
LTDA,TR,36.362778000000006,36.282222999999995,112
LTBA,TR,40.971913,28.823714000000002,117
LTBJ,TR,38.2924,27.156999999999996,103
LTCF,TR,40.562198638916016,43.1150016784668,127
LTAL,TR,41.314201000000004,33.795799,140
LTBQ,TR,40.735001000000004,30.0833,131
LTAO,TR,38.353699,38.253899,138
LTBC,TR,38.36999893188477,28.55710029602051,106
LTCN,TR,37.5388259888,36.9535217285,130
LTBS,TR,36.7131004333,28.792499542199998,127
TR-0037,TR,38.7861877312,41.4696979523,124
TR-0215,TR,38.66602,34.81896,120
TR-0036,TR,41.141201,37.209202000000005,107
LTAQ,TR,41.278645000000004,36.30518,108
LTCL,TR,37.97890090942383,41.84040069580078,111
LTCM,TR,42.018313,35.071774,107
LTBU,TR,41.13819885253906,27.919099807739247,123
LTAW,TR,40.307430267333984,36.367408752441406,148
LTCS,TR,37.445663,38.895592,103
LTCI,TR,38.46820068359375,43.332298278808594,102
LTAX,TR,41.25139999389648,31.41080093383789,104
TR-0014,TR,38.314704,33.8055,117
TR-0065,TR,39.862359999999995,33.483787,106
LTCV,TR,37.3647,42.0582,135
LTCT,TR,39.976627,43.876647999999996,134
LTBP,TR,40.68439865112305,29.37569999694824,117
